Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average
1,Simone Biles,United States,6.3,9.6,,15.9,5.6,9.55,,15.15,15.525
2,Arianna Rocca,Italy,5.8,9.1,,14.9,5,9.1,,14.1,14.5
3,Ellie Black,Canada,5.5,8.6,,14.1,5.4,8.9,,14.3,14.2
4,Camille Bahl,France,5.8,8.85,-0.1,14.55,4.6,8.8,,13.4,13.975
5,Helody Cyrenne,France,5,8.85,,13.85,4.6,8.7,,13.3,13.575
