pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher.1,fielder_2.1,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
ST,2023-08-14,77.9,-2.84,5.29,"Ottavino, Adam",656582,493603,strikeout,called_strike,,,,,3,Connor Joe called out on strikes.,R,R,R,4,6,S,2,fly_ball,0,0,2023,1.64,0.42,0.59,2.94,,,,0,9,Top,136.24,85.29,,,682626,,,4.381331514090126,-113.2787863814019,1.1774870888306692,13.127614364340229,22.746194484048647,-29.08610490856728,3.14,1.44,2,56.7,-45,78.0,2655,6.6,717002,493603,682626,624413,660620,664901,596019,641796,542364,643446,53.91,0.011,0.02,0.0,1,0,0,3,75,1,Sweeper,0.5833333333333333,0.2,2,7,2,7,2,7,Standard,Standard,68,0.0,-0.038
CH,2023-08-14,91.2,-1.81,5.85,"Bido, Osvaldo",607043,674370,field_out,hit_into_play,,,,,13,Brandon Nimmo flies out to center fielder Jack Suwinski.,R,L,R,4,6,X,8,fly_ball,0,0,2023,-1.3,0.78,-0.88,2.4,,,542364,2,8,Bot,116.13,101.79,,,682848,,,5.154093539487418,-132.65867236324365,-4.455599104720357,-16.49518070403072,29.49187396391158,-22.20143397428371,3.43,1.66,245,74.3,41,91.3,2253,6.5,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.03,0.183,0.171,0.0,1,0,0,3,74,1,Changeup,0.5833333333333333,0.2,7,2,2,7,7,2,Strategic,Standard,223,0.0,-0.239
SL,2023-08-14,82.1,-2.12,5.92,"Bido, Osvaldo",660620,674370,field_out,hit_into_play,,,,,5,Jonathan Arauz pops out to third baseman Ke'Bryan Hayes.,R,L,R,4,6,X,5,popup,3,2,2023,1.09,0.16,-0.17,2.29,,,542364,1,8,Bot,93.36,139.8,,,682848,,,2.295473338338153,-119.63550618767636,-1.979617128582753,10.03045692670483,23.43310496622844,-30.45728767762561,3.37,1.57,171,81.0,62,82.0,2325,6.2,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.32,0.009,0.008,0.0,1,0,0,3,73,6,Slider,0.5833333333333333,0.2,7,2,2,7,7,2,Strategic,Standard,49,-0.001,-0.379
SL,2023-08-14,83.7,-1.97,5.98,"Bido, Osvaldo",660620,674370,field_out,swinging_strike,,,,,5,Jonathan Arauz pops out to third baseman Ke'Bryan Hayes.,R,L,R,4,6,S,5,popup,3,1,2023,0.58,0.9,-0.27,2.37,,,542364,1,8,Bot,93.36,139.8,,,682848,,,2.7847223124848397,-121.85812167358594,-3.6701599974553214,5.196491134304514,24.60809743152884,-22.71101893173344,3.37,1.57,171,81.0,62,83.4,2233,6.1,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.39,0.009,0.008,0.0,1,0,0,3,73,5,Slider,0.5833333333333333,0.2,7,2,2,7,7,2,Strategic,Standard,65,0.0,-0.071
FF,2023-08-14,94.9,-1.94,6.02,"Bido, Osvaldo",660620,674370,field_out,called_strike,,,,,1,Jonathan Arauz pops out to third baseman Ke'Bryan Hayes.,R,L,R,4,6,S,5,popup,3,0,2023,-0.65,1.29,-0.66,3.24,,,542364,1,8,Bot,93.36,139.8,,,682848,,,4.8003705808726735,-138.001408895253,-4.455267714325923,-9.356778660472369,32.82807649047042,-14.959245455047624,3.37,1.57,171,81.0,62,94.5,2324,6.3,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.25,0.009,0.008,0.0,1,0,0,3,73,4,4-Seam Fastball,0.5833333333333333,0.2,7,2,2,7,7,2,Strategic,Standard,224,0.0,-0.101
SL,2023-08-14,83.5,-2.0,5.87,"Bido, Osvaldo",660620,674370,field_out,ball,,,,,11,Jonathan Arauz pops out to third baseman Ke'Bryan Hayes.,R,L,R,4,6,B,5,popup,2,0,2023,0.66,0.46,-1.17,3.49,,,542364,1,8,Bot,93.36,139.8,,,682848,,,0.6011027681724711,-121.68612997395203,0.0403675669714512,6.455125523686845,24.66820021083648,-27.84047741076481,3.37,1.57,171,81.0,62,83.4,2186,6.2,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.31,0.009,0.008,0.0,1,0,0,3,73,3,Slider,0.5833333333333333,0.2,7,2,2,7,7,2,Strategic,Standard,65,0.0,0.145
CH,2023-08-14,88.1,-1.77,5.9,"Bido, Osvaldo",660620,674370,field_out,blocked_ball,,,,,14,Jonathan Arauz pops out to third baseman Ke'Bryan Hayes.,R,L,R,4,6,B,5,popup,1,0,2023,-1.57,0.7,1.46,0.71,,,542364,1,8,Bot,93.36,139.8,,,682848,,,11.104537185846636,-127.56801782721509,-7.857941262156451,-19.51320455748384,28.149402470260544,-22.9709446323746,3.37,1.63,171,81.0,62,87.7,2194,6.5,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.04,0.009,0.008,0.0,1,0,0,3,73,2,Changeup,0.5833333333333333,0.2,7,2,2,7,7,2,Strategic,Standard,222,0.0,0.058
CH,2023-08-14,87.9,-1.87,6.02,"Bido, Osvaldo",660620,674370,field_out,ball,,,,,11,Jonathan Arauz pops out to third baseman Ke'Bryan Hayes.,R,L,R,4,6,B,5,popup,0,0,2023,-1.44,0.82,-1.93,3.03,,,542364,1,8,Bot,93.36,139.8,,,682848,,,2.8638390656567587,-127.88952997052832,-2.8047814725484166,-16.39299364613577,28.434201919114653,-22.781582942706265,3.37,1.63,171,81.0,62,88.1,2080,6.6,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,53.93,0.009,0.008,0.0,1,0,0,3,73,1,Changeup,0.5833333333333333,0.2,7,2,2,7,7,2,Strategic,Standard,222,0.0,0.043
FF,2023-08-14,94.2,-2.01,5.88,"Bido, Osvaldo",542364,674370,single,hit_into_play,,,,,7,Rafael Ortega singles on a sharp line drive to right fielder Henry Davis.,R,L,R,4,6,X,9,line_drive,2,2,2023,-0.76,1.39,-0.49,1.95,,,542364,1,8,Bot,167.08,99.1,,,682848,,,5.633716154901874,-136.88647664678447,-7.545591767807927,-10.858645703760786,31.371256904407343,-13.238192033720225,3.35,1.6,270,101.3,16,94.0,2490,6.3,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.19,0.54,0.587,0.9,1,1,0,4,72,5,4-Seam Fastball,0.5833333333333333,0.2,7,2,2,7,7,2,Strategic,Standard,221,0.001,0.285
CH,2023-08-14,91.3,-1.81,5.87,"Bido, Osvaldo",542364,674370,single,ball,,,,,13,Rafael Ortega singles on a sharp line drive to right fielder Henry Davis.,R,L,R,4,6,B,9,line_drive,1,2,2023,-1.47,0.9,-0.55,0.95,,,542364,1,8,Bot,167.08,99.1,,,682848,,,6.327628101346878,-132.53397109459237,-8.371472179974768,-18.64970423182924,30.98810571949189,-19.904879098299208,3.52,1.66,270,101.3,16,91.0,2328,6.5,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.02,0.54,0.587,0.9,1,1,0,4,72,4,Changeup,0.5833333333333333,0.2,7,2,2,7,7,2,Strategic,Standard,212,0.0,0.029
SL,2023-08-14,85.3,-1.92,5.86,"Bido, Osvaldo",542364,674370,single,swinging_strike,,,,,14,Rafael Ortega singles on a sharp line drive to right fielder Henry Davis.,R,L,R,4,6,S,9,line_drive,1,1,2023,0.82,-0.23,0.62,1.3,,,542364,1,8,Bot,167.08,99.1,,,682848,,,4.3351608734798885,-124.18519278597796,-3.910054788189777,7.471715399514309,26.705207816258703,-33.91500277834157,3.35,1.6,270,101.3,16,85.0,2301,6.3,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.24,0.54,0.587,0.9,1,1,0,4,72,3,Slider,0.5833333333333333,0.2,7,2,2,7,7,2,Strategic,Standard,57,0.0,-0.043
FF,2023-08-14,95.4,-1.67,5.95,"Bido, Osvaldo",542364,674370,single,ball,,,,,11,Rafael Ortega singles on a sharp line drive to right fielder Henry Davis.,R,L,R,4,6,B,9,line_drive,0,1,2023,-0.75,1.43,-1.1,3.68,,,542364,1,8,Bot,167.08,99.1,,,682848,,,3.178260540051525,-138.80574234998036,-3.4918180307188527,-10.412216055902643,33.817241351763464,-13.242673530949885,3.52,1.77,270,101.3,16,95.2,2457,6.4,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.13,0.54,0.587,0.9,1,1,0,4,72,2,4-Seam Fastball,0.5833333333333333,0.2,7,2,2,7,7,2,Strategic,Standard,219,0.0,0.02
CH,2023-08-14,90.1,-1.87,5.85,"Bido, Osvaldo",542364,674370,single,swinging_strike,,,,,13,Rafael Ortega singles on a sharp line drive to right fielder Henry Davis.,R,L,R,4,6,S,9,line_drive,0,0,2023,-1.46,0.92,-1.01,2.07,,,542364,1,8,Bot,167.08,99.1,,,682848,,,5.269080112302573,-130.98437493811454,-5.316298255996125,-17.938514621433804,29.860779933272955,-20.661253614048825,3.35,1.6,270,101.3,16,90.1,2246,6.5,717002,674370,682848,663845,678894,663647,675961,656582,669261,680779,54.01,0.54,0.587,0.9,1,1,0,4,72,1,Changeup,0.5833333333333333,0.2,7,2,2,7,7,2,Strategic,Standard,222,0.0,-0.027
