Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,YEAR TOTAL
2011,0.96,1.02,0.33,2.41,5.16,1.35,2.87,1.08,2.56,1.65,0.98,1.92,22.29
2012,0.38,1.94,0.01,1.31,1.78,0.38,4.99,0.36,2.27,1.44,0.28,0.51,15.65
2013,0.27,1.13,1.72,4.14,2.66,0.61,1.03,1.40,18.16,2.24,0.29,0.5,34.15
2014,1.67,0.68,1.62,1.87,4.43,0.84,4.57,1.60,2.88,1.16,0.88,1.37,23.57
2015,0.38,3.69,0.38,4.5,7.82,1.76,2.98,0.31,0.14,2.02,1.83,1.11,27.39
2016,0.37,1.44,3.84,3.34,2.01,2.37,0.61,1.06,0.45,0.38,0.47,0.91,17.25
2017,1.41,0.73,1.45,3.15,6.29,0.45,1.3,1.62,1.92,2.42,0.57,0.68,21.89
2018,0.74,1.04,2.23,1.35,4.76,1.82,1.84,0.24,1.02,2.68,1.19,0.34,19.01
2019,1.57,0.74,2.83,1.87,3.89,2.12,2.21,0.10,0.56,2.42,2.38,0.35,21.04
2020,0.0,2.19,2.88,3.17,2.30,2.10,0.34,0.48,1.56,0.77,0.79,0.52,17.10
2021,0.40,,,,,,,,,,,,0.40
