Position,Gymnast,D Score1,E Score1,Pen.1,Score 1,Rk1,D Score2,E Score2,Pen.2,Score 2,Rk2,Total
1,McKayla Maroney(USA),6.5,9.3,,15.8,-1,5.6,9.2,,14.8,-1,15.3
2,Oksana Chusovitina(GER),6.3,8.766,,15.066,-2,5.5,8.9,,14.333,-3,14.733
3,Phan Thị Hà Thanh(VIE),5.9,8.7,,14.6,-6,5.8,8.933,,14.733,-2,14.666
4,Jade Barbosa(BRA),5.8,9.066,,14.866,-4,5.6,8.666,,14.266,-4,14.566
5,Giulia Steingruber(SUI),6.3,8.6,,14.9,-3,5.2,8.8,,14,-6,14.45
6,Tatiana Nabieva(RUS),5.8,8.766,,14.566,-7,5.2,8.933,,14.133,-5,14.349
7,Alexa Moreno(MEX),6.3,8.433,,14.733,-5,5.2,8.5,,13.7,-7,14.216
8,Yamilet Peña(DOM),5.3,8.6,,13.9,-8,0.000*,0,,0,-8,6.95
