Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
1,Hashimoto Daiki Japan,14.733,15.075,13.333,15.066,15.2,14.633,88.04
2,Zhang Boheng China,14.133,14.666,14.866,14.766,15.3,14.166,87.897
3,Adem Asil Turkey,14.066,12.666,14.533,14.966,14.366,13.833,84.43
4,Shi Cong China,13.2,13.466,13.933,14.233,15.2,13.866,83.898
5,Illia Kovtun Ukraine,14.333,13.766,12.5,14.066,14.7,14.2,83.565
6,Krisztofer Meszaros Hungary,14.033,13.6,12.933,14.2,14.566,13.3,82.632
7,Ilias Georgiou Cyprus,13.633,11.866,13.5,14.366,14.766,14.233,82.364
8,Ahmet Önder Turkey,13.4,12.866,13.933,14.2,14.7,12.966,82.065
9,Joel Plata Spain,14.133,13.633,13.3,14.066,13.666,13.1,81.898
10,Robert Tvorogal Lithuania,13.433,13.233,13.1,13.8,14.6,13.6,81.766
11,William Emard Canada,13.9,11.233,14.733,14.666,13.833,13.133,81.498
12,Luka van den Keybus Belgium,13.966,12.7,12.433,14.333,14,13.666,81.098
13,Yul Moldauer United States,14.433,10.633,13.466,14.433,14.866,13.233,81.064
14,Henji Mboyo Switzerland,13.1,12.966,13.333,13.833,13.933,13.8,80.965
15,Joshua Nathan Great Britain,13.433,15.033,12.6,14.4,12.133,13.166,80.765
16,Milad Karimi Kazakhstan,14.941,11.6,12.133,12.966,14.633,14.433,80.706
17,Caio Souza Brazil,13.666,10.233,14.033,14.666,14.8,13.2,80.598
18,Nestor Abad Spain,14.233,12.933,13.466,13.8,13.566,12.5,80.498
19,Sofus Heggemsnes Norway,12.966,13.366,13,14.233,13.933,13.3,80.498
20,Jossimar Calvo Colombia,13.3,13.433,12.3,14.3,13.866,12.866,80.065
21,Oskar Kirmes Finland,13.733,12.766,12.2,13.766,13.933,12.9,79.298
22,Eyal Indig Israel,12.6,14.066,12.4,13.933,13.5,12.6,79.099
23,Nikita Ignatyev Russia,12.366,11.866,12.766,14.008,13.5,13.433,77.939
24,Noah Kuavita Belgium,13.6,12.5,11.966,14.2,11.3,14.066,77.632
25,Alexander Benda Austria,12.566,12.666,12.6,13.766,12.633,13.366,77.597
26,Robert Kirmes Finland,13.733,13.5,12.666,13.933,11.966,11.766,77.564
27,Nikolaos Iliopoulos Greece,12.5,11.666,13.133,13.766,13.533,12.833,77.431
28,Andres Martinez Colombia,13.866,13.533,10.933,13.833,13.1,12.133,77.398
29,Harald Wibye Norway,12.566,11.466,12.033,13.9,14.566,12.833,76.964
30,Yogeshwar Singh India,13.266,12.633,12.133,14.2,13.466,10.8,76.498
31,Carlo Hörr Germany,13.566,11.3,12.266,14,13.366,12,76.498
32,Ricardo Rudy Austria,13.166,11.833,12.3,13.833,12.966,11.833,75.931
33,Tomas Kuzmickas Lithuania,13.4,12.4,12.766,13.866,11.4,11.966,75.798
34,Nguyen Van Khanh Phong Vietnam,10.933,10.8,14.166,13.5,13.333,12.7,75.432
35,Yordan Aleksandrov Bulgaria,11.6,11.2,12.466,13.566,13.9,12.566,75.298
36,Valgard Reinhardsson Iceland,13.166,11.833,11.866,13.766,12.466,12.133,75.23
37,Benedek Tomcsanyi Hungary,11.833,13.166,12.45,13.816,12.833,10.933,75.031
38,Jermain Grünberg Netherlands,12.733,11.3,10.933,13.966,14.333,11.7,74.965
39,Gytis Chasazyrovas Lithuania,12.733,13.7,11.733,12.033,12.966,11.4,74.565
40,Lee Junho South Korea,14.166,10.633,12.9,13.2,12.8,10.733,74.432
41,Jose Nogueira Portugal,13.366,11.066,10.8,13.9,12.933,12.266,74.331
42,Israel Chiriboga Ecuador,12.566,11.3,11.566,12.566,13.6,12.733,74.331
43,Guilherme Campos Portugal,13.466,10.166,12.633,13.9,12.666,10.966,73.797
44,Kim Wanström Sweden,13.8,11.8,9.825,13.233,12.7,12.4,73.758
45,Sviataslau Dranitski Belarus,12.966,11.7,11.433,14.3,12.2,11.033,73.632
46,Abhijeet Kumar India,12.666,11.733,11.166,12.433,13.2,12.133,73.331
47,Frantisek Cerny Czech Republic,13.166,10.7,11.2,13.9,11.766,12.2,72.932
48,Jonas Thorisson Iceland,12.7,10.566,11.5,13.733,12.133,12.266,72.898
49,Hung Shih-Tung Taiwan,11.833,12,11.7,13.733,13.133,10.266,72.665
50,Kaya Kazuma Japan,14.566,14.933,13.966,0,14.833,13.966,72.264
51,Teodor Trifonov Bulgaria,10.933,10.733,10.666,13.833,12.866,11.5,70.531
52,Ricards Plate Latvia,9.9,11.833,11.566,13.033,9.166,12.233,67.731
53,Ryu Sunghyun South Korea,14.6,0,13,14.066,12.666,13.333,67.665
54,Lee Junghyo South Korea,12.466,13.966,12.833,0,14.3,13.2,66.765
55,Van Vi Luong Vietnam,11.966,11.5,12.733,13.166,13.233,0,62.598
56,Martin Gudmundsson Iceland,12.766,11.2,0,13.833,12.5,12.266,62.565
57,Pablo Broszio Panama,9.933,6.866,11.133,12.633,11.533,9.333,61.431
58,Mohamed Afify Egypt,10.7,11.866,0,13.9,13.566,11.3,61.332
59,Farukh Nabiyev Kazakhstan,11.2,0,9.766,13.9,14.066,12,60.932
60,Suphacheep Baobenmad Thailand,10.233,3.8,4.7,13.3,10.633,9.833,52.499
61,Omar Mohamed Egypt,13.333,0,12.733,0,13.8,11.8,51.666
62,Hung Yuan-Hsi Taiwan,0,10.733,12.966,0,14.3,13,50.999
63,Glenn Trebing Germany,0,11.466,12.333,0,14.4,12.733,50.932
64,Bernardo Almeida Portugal,13.466,11.533,0,0,13.2,11.633,49.832
65,Tikumporn Surintornta Thailand,13.966,0,11.466,12.9,0,10.633,48.965
66,Isaac Nuñez Mexico,7.433,0,0,13.566,14.733,13.166,48.898
67,Joseph Cemlyn-Jones Great Britain,0,12.666,13.1,0,9.933,12.633,48.332
68,Carlos Yulo Philippines,15.166,0,0,14.733,15.566,0,45.465
69,Nicola Bartolini Italy,14.966,13.8,0,14.7,0,0,43.466
70,Nazar Chepurnyi Ukraine,14.008,0,0,14.966,14.433,0,43.407
