Rank,Athlete,Nation,D,E,ND,Total
1,Hu Xuwei,China,6.6,8.866,,15.466
2,Carlos Yulo,Philippines,6.4,8.9,,15.3
3,Shi Cong,China,6,9.066,,15.066
4,Hashimoto Daiki,Japan,6.2,8.8,,15
5,Yul Moldauer,United States,6.4,8.6,,15
6,Kaya Kazuma,Japan,6.3,8.6,,14.9
7,Caio Souza,Brazil,6.1,8.466,,14.566
8,Christian Baumann,Switzerland,6.2,6.133,,12.333
