Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
1,Zhang Boheng China,14.883,13.466,14.6,14.866,15.366,14.8,87.981
2,Hashimoto Daiki Japan,14.833,14.166,13.966,14.8,15.066,15.133,87.964
3,Illia Kovtun Ukraine,14.366,14.4,12.933,14.3,14.4,14.5,84.899
4,Yul Moldauer United States,14.5,14.866,12.466,14.333,14.9,13.3,84.365
5,Ahmet Önder Turkey,14.1,13.8,13.666,13.966,14.8,13.9,84.232
6,Shi Cong China,14.466,13.5,13.733,14.658,13.4,14.3,84.057
7,Joel Plata Spain,14.133,13.766,13.2,14,14.666,13.6,83.365
8,William Emard Canada,14.633,12.433,14.625,14.466,13.766,13.333,83.256
9,Joshua Nathan Great Britain,13.7,15,12.833,14.366,13.966,13.366,83.231
10,Nestor Abad Spain,13.9,13.233,13.666,14.233,14.366,13.333,82.731
11,Adem Asil Turkey,14.4,12.733,14.466,14.7,12.6,13.8,82.699
12,Henji Mboyo Switzerland,13.7,13.7,13.4,14.058,13.9,13.933,82.691
13,Caio Souza Brazil,13.3,12.2,13.966,14.633,14.566,14,82.665
14,Krisztofer Meszaros Hungary,13.8,13.716,13.066,13.833,13.633,13.533,81.581
15,Robert Tvorogal Lithuania,13.033,13.2,13.175,13.666,14.466,14,81.54
16,Luka van den Keybus Belgium,13.666,12.933,12.833,14.533,13.5,13.8,81.265
17,Nikita Ignatyev Russia,13.733,12.466,13.366,14.116,13.4,13.566,80.647
18,Robert Kirmes Finland,13.866,13.7,12.633,13.966,13.266,12.366,79.797
19,Nikolaos Iliopoulos Greece,12.733,12.633,13.308,14.033,13.666,13.366,79.739
20,Noah Kuavita Belgium,13.6,12.9,12.366,13.3,13.166,14.266,79.598
21,Sofus Heggemsnes Norway,12.5,13.6,13.233,14.266,12.5,13.2,79.299
22,Oskar Kirmes Finland,13.566,13.333,12.5,13.666,13.7,11.466,78.231
23,Eyal Indig Israel,12.833,12.666,11.166,13.466,13.3,12.833,76.264
24,Alexander Benda Austria,12.333,11.2,12.666,13.633,13,11.333,74.165
