Position,Gymnast,D Score,E Score,Penalty,Total
1,Yao Jinnan(CHN),6.9,8.733,,15.633
2,Huang Huidan(CHN),6.8,8.766,,15.566
3,Daria Spiridonova(RUS),6.4,8.883,,15.283
4,Ashton Locklear(USA),6.5,8.766,,15.266
5,Becky Downie(GBR),6.6,8.566,,15.166
6,Aliya Mustafina(RUS),6.3,8.8,,15.1
7,Lisa Katharina Hill(GER),6.3,8.033,,14.333
8,Ruby Harrold(GBR),6.1,7.566,,13.666
