Rank,Gymnast,D Score1,E Score1,Pen.1,Score 1,D Score2,E Score2,Pen.2,Score 2,Total
1,Hong Un-jong(PRK),6.3,9.466,,15.766,6.4,9.033,,15.433,15.599
2,Simone Biles(USA),6.3,9.6,,15.9,5.6,9.608,,15.208,15.554
3,Mykayla Skinner(USA),6.4,9.3,,15.7,5.8,9.233,,15.033,15.366
4,Alla Sosnitskaya(RUS),6.4,8.866,0.3,14.966,5.8,9.166,,14.966,14.966
5,Giulia Steingruber(SUI),6.2,9.033,,15.233,5,9.2,,14.2,14.716
5,Claudia Fragapane(GBR),5.8,9.033,,14.833,5.6,9,,14.6,14.716
7,Alexa Moreno(MEX),6.2,8.833,,15.033,6,8.366,0.3,14.066,14.549
8,Phan Thị Hà Thanh(VIE),5.8,8.608,0.3,14.108,6.2,8.533,0.1,14.633,14.37
