Rank,Gymnast,D Score,E Score,Pen.,Total,Country
1,Guan Chenchen,6.6,8.033,0.0,14.633,CHN
2,Tang Xijing,6.0,8.233,0.0,14.233,CHN
3,Simone Biles,6.1,7.9,0.0,14.0,USA
4,Ellie Black,6.2,7.666,0.0,13.866,CAN
5,Sunisa Lee,6.4,7.466,0.0,13.866,USA
6,Urara Ashikawa,5.9,7.833,0.0,13.733,JPN
7,Flávia Saraiva,5.7,7.433,0.0,13.133,BRA
8,Vladislava Urazova,5.0,7.733,0.0,12.733,ROC
