Rank,Gymnast,D Score,E Score,Pen.,Total,Country
1,Nina Derwael,6.7,8.5,0.0,15.2,BEL
2,Anastasia Ilyankova,6.3,8.533,0.0,14.833,ROC
3,Sunisa Lee,6.2,8.3,0.0,14.5,USA
4,Lu Yufei,6.0,8.4,0.0,14.4,CHN
5,Elisabeth Seitz,6.2,8.2,0.0,14.4,GER
6,Mélanie de Jesus dos Santos,6.1,7.933,0.0,14.033,FRA
7,Fan Yilin,6.4,7.5,0.0,13.9,CHN
8,Angelina Melnikova,5.9,7.166,0.0,13.066,ROC
