Position,Gymnast,D Score,E Score,Penalty,Total
,Marijo Možnik (CRO),6.7,8.133,,14.833
,Sam Oldham (GBR),6.5,8.266,,14.766
,Vlasios Maras (GRE),6.6,8.066,,14.666
4.0,Aliaksandr Tsarevich (BLR),6.7,7.933,,14.633
5.0,Alexander Shatilov (ISR),6.5,8.066,,14.566
6.0,Kristian Thomas (GBR),6.5,7.533,,14.033
7.0,Axel Augis (FRA),6.3,7.466,,13.766
8.0,Pablo Brägger (SUI),6.0,6.433,,12.433
9.0,Dzmitry Barkalau (BLR),5.8,6.233,,12.033
