Position,Gymnast,D Score,E Score,Penalty,Total
,Eleftherios Petrounias (GRE),6.8,9.066,,15.866
,Samir Aït Saïd (FRA),6.8,8.766,,15.566
,Denis Ablyazin (RUS),6.8,8.766,,15.566
4.0,Yuri van Gelder (NED),6.8,8.733,,15.533
5.0,Vahagn Davtyan (ARM),6.6,8.733,,15.333
6.0,Artur Tovmasyan (ARM),6.7,8.6,,15.3
6.0,Matteo Morandi (ITA),6.7,8.6,,15.3
8.0,Courtney Tulloch (GBR),6.7,8.533,,15.233
