Position,Gymnast,D Score,E Score,Penalty,Total
,Oleg Verniaiev (UKR),6.9,8.966,,15.866
,Marius Berbecar (ROU),6.7,8.6,,15.3
,Christian Baumann (SUI),6.4,8.9,,15.3
4.0,Oleg Stepko (AZE),6.5,8.766,,15.266
5.0,Andrei Muntean (ROU),6.6,8.533,,15.133
6.0,Petro Pakhnyuk (AZE),6.5,8.466,,14.966
7.0,Ferhat Arıcan (TUR),6.2,7.633,,13.833
8.0,Aliaksandr Tsarevich (BLR),4.0,8.733,,12.733
