Position,Gymnast,D Score,E Score,Penalty,Total
,Kristian Thomas (GBR),6.2,8.966,,15.166
,David Belyavskiy (RUS),6.6,8.466,,15.066
,Pablo Brägger (SUI),6.5,8.541,0.1,14.941
4.0,Alexander Shatilov (ISR),6.5,8.433,,14.933
5.0,Rayderley Zapata (ESP),6.7,8.3,0.1,14.9
6.0,Bart Deurloo (NED),6.5,8.366,,14.866
7.0,Tomislav Markovic (CRO),6.3,7.433,,13.733
8.0,Andrej Korosteljev (CRO),6.4,6.333,0.3,12.433
