Rank,Athlete,Nation,D,E,ND,Total
1,Fan Yilin,China,6.3,8.533,,14.833
2,Lyu Jiaqi,China,6.1,8.266,,14.366
3,Georgia-Rose Brown,Australia,5.4,7.966,,13.366
4,Jonna Adlerteg,Sweden,6,7.166,,13.166
5,Romi Brown,Australia,4.5,8,,12.5
6,Valeriia Osipova,Ukraine,5.1,7.266,,12.366
7,Ting Hua-Tien,Chinese Taipei,4,8.3,,12.3
8,Martina Rizzelli,Italy,5.2,6.8,,12
