Rank,Athlete,Nation,D,E,ND,Total
1,Lyu Jiaqi,China,6.1,8.2,,14.3
2,Fan Yilin,China,6.2,7.633,,13.833
3,Georgia-Rose Brown,Australia,5.5,8.133,,13.633
4,Jonna Adlerteg,Sweden,6,7.233,,13.233
5,Martina Rizzelli,Italy,5.4,7.8,,13.2
6,Romi Brown,Australia,4.6,7.833,,12.433
7,Valeriia Osipova,Ukraine,5,7.4,,12.4
8,Ting Hua-Tien,Chinese Taipei,4,8.333,,12.333
9,Eom Do-hyun,South Korea,4.9,7.3,,12.2
