Name,VT,UB,BB,FX,AA,year
Simone Biles,14.966,14.566,14.066,14.133,57.731,2021
Simone Biles,15.4,13.833,13.7,14.6,57.533,2021
Simone Biles,15.466,14.6,15.133,15.366,60.565,2021
Simone Biles,15.55,14.7,14.9,14.95,60.1,2021
Simone Biles,15.8,14.75,14.35,14.65,59.55,2021
Simone Biles,16.1,13.2,14.85,14.25,58.4,2021
Simone Biles,14.85,14.05,14.85,15.4,59.15,2023
Simone Biles,15.5,14.35,14.45,14.8,59.1,2023
Simone Biles,15.2,14.0,14.8,14.9,58.9,2023
Simone Biles,14.65,14.2,14.35,14.45,57.65,2023
