Position,Gymnast,vt1_D Score,vt1_E Score,vt1_Penalty,Score 1,vt2_D Score,vt2_E Score,vt2_Penalty,Score 2,Total
1,Rebeca Andrade(BRA),6,9.266,0.1,15.166,5.8,9.2,,15,15.083
2,MyKayla Skinner(USA),6,9.033,,15.033,5.8,9,,14.8,14.916
3,Yeo Seo-jeong(KOR),6.2,9.133,,15.333,5.4,8.733,,14.133,14.733
4,Alexa Moreno(MEX),5.8,8.966,,14.766,5.6,9.066,,14.666,14.716
5,Angelina Melnikova(ROC),5.4,9.266,,14.666,6,8.8,0.1,14.7,14.683
6,Lilia Akhaimova(ROC),5.8,8.866,,14.666,5.6,9.066,,14.666,14.666
7,Shallon Olsen(CAN),6,8.7,,14.7,5.4,9,,14.4,14.55
8,Jade Carey(USA),3.3,8.633,,11.933,5.8,9.1,2,12.9,12.416
