Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,49,29.2,4.28,162,6157,5460,693,1283,259,50,176,658,79,25,560,1460,0.235,0.31,0.397,0.707,86,2170,110,52,38,45,36,1086
Atlanta Braves,58,27.3,4.69,162,6251,5582,759,1433,314,29,175,717,90,36,511,1290,0.257,0.324,0.417,0.742,98,2330,99,66,49,43,53,1143
Baltimore Orioles,56,28.4,3.84,162,6034,5507,622,1317,242,15,188,593,81,22,422,1412,0.239,0.298,0.391,0.689,89,2153,132,57,13,35,19,1027
Boston Red Sox,44,27.7,5.41,162,6302,5623,876,1509,355,31,208,829,125,31,569,1253,0.268,0.339,0.453,0.792,112,2550,130,55,7,48,38,1124
Chicago Cubs,50,27.2,4.67,163,6369,5624,761,1453,286,34,167,722,66,38,576,1388,0.258,0.333,0.41,0.744,97,2308,107,78,40,46,67,1224
Chicago White Sox,51,26.5,4.05,162,6071,5523,656,1332,259,40,182,639,98,41,425,1594,0.241,0.302,0.401,0.703,93,2217,99,66,24,32,18,1050
Cincinnati Reds,53,27.2,4.3,162,6240,5532,696,1404,251,25,172,665,77,33,559,1376,0.254,0.328,0.401,0.729,95,2221,128,65,49,35,35,1179
Cleveland Indians,49,29.4,5.05,162,6300,5595,818,1447,297,19,216,786,135,36,554,1189,0.259,0.332,0.434,0.766,106,2430,98,80,25,44,32,1147
Colorado Rockies,41,28.7,4.79,163,6178,5541,780,1418,280,42,210,748,95,33,507,1397,0.256,0.322,0.435,0.757,90,2412,114,51,42,37,38,1067
Detroit Tigers,49,27.9,3.89,162,6029,5494,630,1326,284,35,135,597,70,30,428,1341,0.241,0.3,0.38,0.68,83,2085,110,52,15,40,18,1071
Houston Astros,41,28.2,4.92,162,6146,5453,797,1390,278,18,205,763,71,26,565,1197,0.255,0.329,0.425,0.754,106,2319,156,61,14,45,19,1052
Kansas City Royals,49,28.6,3.94,162,6063,5505,638,1350,283,29,155,606,117,38,427,1310,0.245,0.305,0.392,0.697,90,2156,123,67,24,40,13,1063
Los Angeles Angels,60,29.6,4.45,162,6108,5472,721,1323,249,23,214,690,89,22,514,1300,0.242,0.313,0.413,0.726,99,2260,111,73,7,39,38,1071
Los Angeles Dodgers,52,28.1,4.93,163,6358,5572,804,1394,296,33,235,756,75,24,647,1436,0.25,0.333,0.442,0.774,109,2461,119,61,39,39,47,1163
Miami Marlins,51,27.5,3.66,161,6083,5488,589,1303,222,24,128,554,45,31,455,1384,0.237,0.303,0.357,0.659,83,1957,119,73,32,31,26,1123
Milwaukee Brewers,53,28.8,4.63,163,6210,5542,754,1398,252,24,218,711,124,32,537,1458,0.252,0.323,0.424,0.747,99,2352,128,58,29,41,32,1106
Minnesota Twins,54,28.2,4.56,162,6154,5526,738,1379,317,22,166,704,47,27,534,1328,0.25,0.318,0.405,0.723,96,2238,89,37,19,38,25,1087
New York Mets,56,28.3,4.17,162,6177,5468,676,1282,265,34,170,649,71,39,566,1404,0.234,0.312,0.389,0.701,96,2125,116,73,28,42,36,1104
New York Yankees,49,27.2,5.25,162,6271,5515,851,1374,269,23,267,821,63,21,625,1421,0.249,0.329,0.451,0.781,112,2490,107,62,10,59,21,1100
Oakland Athletics,53,28,5.02,162,6255,5579,813,1407,322,20,227,778,35,21,550,1381,0.252,0.325,0.439,0.764,110,2450,136,76,6,44,18,1085
Philadelphia Phillies,48,26.7,4.18,162,6136,5424,677,1270,241,30,186,653,69,26,582,1520,0.234,0.314,0.393,0.707,89,2129,102,64,32,32,33,1120
Pittsburgh Pirates,48,27.8,4.3,161,6066,5447,692,1381,290,38,157,665,70,38,474,1229,0.254,0.317,0.407,0.725,98,2218,121,59,31,52,38,1071
San Diego Padres,49,26.8,3.81,162,6059,5486,617,1289,250,30,162,583,95,36,471,1523,0.235,0.297,0.38,0.677,88,2085,122,31,35,36,28,1028
Seattle Mariners,53,29.8,4.18,162,6087,5513,677,1402,256,32,176,644,79,37,430,1221,0.254,0.314,0.408,0.722,102,2250,128,70,29,41,17,1084
San Francisco Giants,48,29.8,3.72,162,6113,5541,603,1324,255,30,133,573,77,34,448,1467,0.239,0.3,0.368,0.667,85,2038,113,49,33,42,40,1101
St. Louis Cardinals,49,28,4.69,162,6200,5498,759,1369,248,9,205,725,63,32,525,1380,0.249,0.321,0.409,0.73,99,2250,92,80,46,48,40,1101
Tampa Bay Rays,54,27.1,4.42,162,6195,5475,716,1415,274,43,150,664,128,51,540,1388,0.258,0.333,0.406,0.74,105,2225,122,101,28,50,17,1156
Texas Rangers,50,27.4,4.55,162,6163,5453,737,1308,266,24,194,696,74,35,555,1484,0.24,0.318,0.404,0.722,89,2204,104,88,33,34,16,1093
Toronto Blue Jays,63,28.9,4.38,162,6076,5477,709,1336,320,16,217,680,47,30,499,1387,0.244,0.312,0.427,0.739,102,2339,118,58,5,37,15,1036
Washington Nationals,53,27.6,4.76,162,6288,5517,771,1402,284,25,191,737,119,33,631,1289,0.254,0.335,0.419,0.753,98,2309,104,59,41,40,56,1180
League Average,46,28.1,4.45,162,6171,5514,721,1367,275,28,186,687,82,32,523,1374,0.248,0.318,0.409,0.728,97,2258,115,64,27,41,31,1101
,1379,28.1,4.45,4862,185139,165432,21630,41018,8264,847,5585,20606,2474,958,15686,41207,0.248,0.318,0.409,0.728,97,67731,3457,1922,823,1235,929,33042
