Rank,Gymnast,Nation,D Score,E Score,Pen.,Total
1,Krisztián Berki,Hungary,6.9,9.166,,16.066*
2,Louis Smith,Great Britain,7,9.066,,16.066*
3,Max Whitlock,Great Britain,6.6,9,,15.6
4,Alberto Busnari,Italy,6.6,8.8,,15.4
5,Cyril Tommasone,France,6.5,8.641,,15.141
6,Vitaliy Nakonechnyi,Ukraine,6.3,8.466,,14.766
7,David Belyavskiy,Russia,6.3,8.433,,14.733
8,Vid Hidvégi,Hungary,6.3,8,,14.3
