Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Ana Sofia Gomez,GUA,6.2,8.25,0.0,14.45,final,2014
2,Jessica Lopez,VEN,5.8,8.3,0.0,14.1,final,2014
3,Julie Sinmon,BRA,5.4,8.6,0.0,14.0,final,2014
4,Madison Kocian,USA,5.8,8.025,0.0,13.825,final,2014
4,Yesenia Ferrera,CUB,5.6,8.225,0.0,13.825,final,2014
6,Ayelen Tarabini,ARG,5.6,7.95,0.0,13.55,final,2014
7,MyKayla Skinner,USA,5.7,7.775,0.0,13.475,final,2014
8,Daniele Hypolito,BRA,5.5,7.225,0.0,12.725,final,2014
