Position,Gymnast,D Score,E Score,Penalty,Total
1,Zsófia Kóvacs,5.7,8.15,0.0,13.85
2,Zója Székely,5.8,7.75,0.0,13.55
3,Barbora Mokošová,5.5,7.8,0.0,13.3
4,Larisa Iordache,5.5,7.75,0.0,13.25
5,Anastasiia Motak,5.7,7.55,0.0,13.25
6,Christina Zwicker,4.4,8.15,0.0,12.55
7,Yelyzaveta Hubareva,5.5,6.85,0.0,12.35
8,Elina Vihrova,5.0,6.35,0.0,11.35
