Rank,Athlete,Nation,D,E,ND,Total,d2,e2,nd2,total2,Average
1,Oksana Chusovitina,UZB,5.8,9.15,0.0,14.95,5.5,9.325,0.0,14.825,14.887
2,Noel van Klaveren,NED,5.3,9.325,0.0,14.625,5.2,8.975,0.0,14.175,14.4
3,Maegan Chant,CAN,5.2,9.25,0.0,14.45,5.4,8.75,-0.3,13.85,14.15
4,Hiu Ying Angel Wong,HKG,5.2,8.775,0.0,13.975,5.0,8.825,0.0,13.825,13.9
4,Makarena Pinto,CHI,5.2,8.6,-0.3,13.5,5.4,8.9,0.0,14.3,13.9
6,Chantysha Netteb,NED,5.3,7.9,0.0,13.2,5.2,9.05,0.0,14.25,13.725
7,Ofir Netzer,ISR,4.6,8.75,0.0,13.35,5.3,8.825,-0.1,14.025,13.687
8,Paula Mejias,PUR,4.3,7.525,0.0,11.825,5.3,8.225,-0.3,13.255,12.525
