Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average,year,round
1,Giulia Steingruber,SUI,5.8,9.266,0.0,15.066,5.4,9.183,0.0,14.583,14.824,2021,final
2,Jessica Gadirova,GBR,5.4,9.2,0.0,14.6,5.2,9.133,0.0,14.333,14.466,2021,final
3,Angelina Melnikova,RUS,5.4,9.2,0.0,14.6,5.2,9.033,0.0,14.233,14.416,2021,final
4,Anastasiia Motak,UKR,5.4,8.633,-0.1,13.933,4.8,8.666,0.0,13.466,13.699,2021,final
5,Tjasa Kysselef,SLO,5.0,8.7,0.0,13.7,4.8,8.833,0.0,13.633,13.666,2021,final
6,Csenge Bacskay,HUN,5.0,8.766,0.0,13.766,4.8,8.733,0.0,13.533,13.649,2021,final
7,Marina Nekrasova,AZE,5.0,7.533,-0.1,12.433,5.2,8.733,0.0,13.933,13.183,2021,final
8,Sara Peter,HUN,5.4,7.566,0.0,12.966,0.0,0.0,0.0,0.0,6.483,2021,final
