Rank,Athlete,D,E,ND,Total,year,nation,round
1.0,Amy Tinkler,5.7,8.75,0.0,14.45,2015,GBR,final
2.0,Claudia Fragapane,6.1,8.45,-0.3,14.25,2015,GBR,final
3.0,Lisa Mason,5.4,8.8,0.0,14.2,2015,GBR,final
4.0,Angel Romaeo,5.0,8.55,0.0,13.55,2015,GBR,final
,Kelly Simm,5.6,7.95,0.0,13.55,2015,GBR,final
6.0,Raer Theaker,5.2,8.2,0.0,13.4,2015,GBR,final
7.0,Jade Stedford,4.6,8.35,0.0,12.95,2015,GBR,final
8.0,Rebecca Moore,5.0,8.0,-0.1,12.9,2015,GBR,final
