Position,Gymnast,D Score1,E Score1,Pen.1,Score 1,D Score2,E Score2,Pen.2,Score 2,Total
1,Zsófia Kóvacs,5.4,8.95,0.0,14.35,4.8,8.95,0.0,13.75,14.05
2,Larisa Iordache,5.4,8.8,0.0,14.2,4.8,8.75,0.0,13.55,13.875
3,Anastasiia Motak,5.4,8.85,0.0,14.25,4.8,8.65,0.0,13.45,13.85
4,Csenge Bácksay,5.0,8.7,0.0,13.7,4.8,8.8,0.0,13.6,13.65
5,Ioana Stănciulescu,5.4,8.75,0.0,14.15,4.2,8.8,0.0,13.0,13.575
6,Dilara Yurtdaş,4.6,9.0,0.0,13.6,4.6,8.75,0.0,13.35,13.475
7,Elina Vihrova,4.6,8.8,0.0,13.4,4.6,8.5,0.0,13.1,13.25
8,Tijana Korent,4.6,8.6,0.0,13.2,4.6,8.65,0.0,13.25,13.225
