Rank,Gymnast,D Score,E Score,Pen.,Total
1,Simone Biles,6.7,8.533,0.3,14.933
2,Morgan Hurd,5.5,8.433,,13.933
3,Mai Murakami,5.7,8.166,,13.866
4,Angelina Melnikova,5.7,8.133,,13.833
5,Flávia Saraiva,5.5,8.366,0.1,13.766
6,Mélanie de Jesus dos Santos,5.5,8.233,0.3,13.433
7,Lilia Akhaimova,5.8,7.566,,13.366
8,Brooklyn Moors,5.4,7.666,,13.066
