Rank,Athlete,Nation,D,E,ND,Total,d2,e2,nd2,total2,Average
1,Oksana Chusovitina,Uzbekistan,5.8,9.15,,14.95,5.5,9.325,,14.825,14.887
2,Noel van Klaveren,Netherlands,5.3,9.325,,14.625,5.2,8.975,,14.175,14.4
3,Maegan Chant,Canada,5.2,9.25,,14.45,5.4,8.75,-0.3,13.85,14.15
4,Hiu Ying Angel Wong,Hong Kong,5.2,8.775,,13.975,5,8.825,,13.825,13.9
4,Makarena Pinto,Chile,5.2,8.6,-0.3,13.5,5.4,8.9,,14.3,13.9
6,Chantysha Netteb,Netherlands,5.3,7.9,,13.2,5.2,9.05,,14.25,13.725
7,Ofir Netzer,Israel,4.6,8.75,,13.35,5.3,8.825,-0.1,14.025,13.687
8,Paula Mejias,Puerto Rico,4.3,7.525,,11.825,5.3,8.225,-0.3,13.255,12.525
