Rank,Athlete,Nation,D,E,ND,Total
1,Anastasia Grishina,Russia,6.1,8.275,,14.375
2,Jessica Lopez,Venezuela,5.7,8.45,,14.15
3,Maria Paula Vargas,Spain,5.9,7.65,,13.55
4,Jana Sikulova,Czech Republic,5.4,8.025,,13.425
5,Sophie Scheder,Germany,6.2,7.1,,13.3
6,Evgeniya Shelgunova,Russia,5.9,7.35,,13.25
7,Filipa Martins,Portugal,5.3,7,,12.3
8,Ida Gustafsson,Sweden,5.8,5.775,,11.575
