Rank,Athlete,Nation,D,E,ND,Total,d2,e2,pen2,score2,Average
1,Jade Carey,United States,6,9.066,,15.066,5.4,9.3,,14.7,14.883
2,Maria Paseka,Russia,6,8.533,-0.1,14.433,5.8,9.3,,15.1,14.766
3,Coline Devillard,France,5.8,9.133,,14.933,5.4,8.766,,14.166,14.549
4,Alexa Moreno,Mexico,5.8,8.7,-0.1,14.4,5.6,8.8,,14.4,14.4
5,Oksana Chusovitina,Uzbekistan,5.2,8.666,,13.866,5.2,8.766,-0.1,13.866,13.866
6,Emily Thomas,Great Britain,5,9.033,,14.033,4.8,8.866,,13.666,13.849
7,Gabriela Janik,Poland,4.8,8.866,,13.666,4.8,8.966,,13.766,13.716
8,Marina Nekrasova,Azerbaijan,4.8,7.533,,12.333,5.4,8.8,-0.1,14.1,13.216
