Rank,Athlete,Nation,D,E,ND,Total,D.1,E.1,ND.1,Total.1,Average,round,year
1,MyKayla Skinner,USA,6.4,8.8,0.0,15.2,5.8,9.075,0.0,14.875,15.037,final,2014
2,Yesenia Ferrera,CUB,6.2,7.95,0.0,14.15,6.0,8.65,0.0,14.65,14.4,final,2014
3,Dovelis Torres,CUB,5.8,8.575,0.0,14.375,5.3,8.85,0.0,13.85,14.112,final,2014
4,Maegan Chant,CAN,5.2,8.775,0.0,13.975,5.4,8.55,0.0,13.95,13.962,final,2014
5,Isabelle Cruz,BRA,5.3,9.025,0.0,14.325,5.0,8.45,0.0,13.45,13.887,final,2014
6,Paula Mejias,PUR,4.8,8.225,0.0,13.025,6.0,8.6,0.0,14.6,13.812,final,2014
7,Alexa Moreno,MEX,6.2,7.25,0.0,13.45,6.0,7.45,0.0,13.45,13.45,final,2014
8,Nicolle Vazquez,PUR,5.4,8.425,0.0,13.825,5.8,6.375,0.0,12.175,13.0,final,2014
