Rank,Athlete,Nation,D,E,ND,Total,round,year
1,Ksenia Afanasyeva,RUS,6.3,8.433,0.0,14.733,final,2015
2,Claudia Fragapane,GBR,6.3,8.333,0.0,14.633,final,2015
3,Giulia Steingruber,SUI,6.0,8.466,0.0,14.466,final,2015
4,Erika Fasana,ITA,6.0,8.3,0.0,14.3,final,2015
5,Marta Pihan-Kulesza,POL,6.0,8.233,0.0,14.233,final,2015
6,Amy Tinkler,GBR,5.9,8.1,0.0,14.0,final,2015
7,Maria Kharenkova,RUS,5.8,8.233,-0.1,13.933,final,2015
8,Andreea Munteanu,ROU,5.5,8.366,0.0,13.866,final,2015
1,Giulia Steingruber,SUI,6.0,8.333,0.0,14.333,qual,2015
2,Ksenia Afanasyeva,RUS,6.1,8.166,0.0,14.266,qual,2015
3,Amy Tinkler,GBR,5.9,8.3,0.0,14.2,qual,2015
4,Marta Pihan-Kulesza,POL,5.9,8.233,0.0,14.133,qual,2015
5,Maria Kharenkova,RUS,5.9,8.166,0.0,14.066,qual,2015
6,Erika Fasana,ITA,6.0,8.3,-0.3,14.0,qual,2015
7,Claudia Fragapane,GBR,6.1,8.166,-0.3,13.966,qual,2015
8,Andreea Munteanu,ROU,5.4,8.4,0.0,13.8,qual,2015
9,Eythora Thorsdottir,NED,5.6,8.3,-0.1,13.8,qual,2015
10,Claire Martin,FRA,5.2,8.466,0.0,13.666,qual,2015
11,Laura Jurca,ROU,5.5,8.166,0.0,13.666,qual,2015
12,Filipa Martins,POR,5.6,7.966,0.0,13.566,qual,2015
13,Vanessa Ferrari,ITA,5.7,7.825,0.0,13.525,qual,2015
14,Jonna Adlerteg,SWE,5.2,8.266,0.0,13.466,qual,2015
15,Pauline Tratz,GER,5.3,8.133,0.0,13.433,qual,2015
16,Ellie Downie,GBR,5.6,8.1,-0.3,13.4,qual,2015
17,Carlotta Ferlito,ITA,5.3,8.1,0.0,13.4,qual,2015
18,Camille Bahl,FRA,5.0,8.383,0.0,13.383,qual,2015
19,Ana Perez,ESP,5.5,7.8,0.0,13.3,qual,2015
20,Martina Rizzelli,ITA,5.7,7.533,0.0,13.233,qual,2015
21,Dyonnailys Supriana,NED,5.3,8.2,-0.4,13.1,qual,2015
22,Loan His,FRA,5.0,8.2,-0.1,13.1,qual,2015
23,Diana Bulimar,ROU,5.5,7.566,0.0,13.066,qual,2015
24,Veronika Cenkova,CZE,5.1,7.866,0.0,12.966,qual,2015
25,Angelina Kysla,UKR,5.3,7.733,-0.1,12.933,qual,2015
26,Jessica Diacci,SUI,5.1,7.766,0.0,12.866,qual,2015
