Rank,Athlete,Nation,D,E,ND,Total,year,round
1,Kyla Ross,USA,6.0,9.25,0.0,15.25,2015,final
2,Bailie Key,USA,6.1,9.05,0.0,15.15,2015,final
3,Sabrina Gill,CAN,5.8,8.5,0.0,14.3,2015,final
4,Erika Fasana,ITA,5.6,8.6,0.0,14.2,2015,final
5,Valentine Pikul,FRA,5.7,8.35,0.0,14.05,2015,final
6,Martina Rizzelli,ITA,5.9,7.95,0.0,13.85,2015,final
7,Loan His,FRA,5.8,7.65,0.0,13.45,2015,final
8,Isabela Onyshko,CAN,6.1,7.15,0.0,13.25,2015,final
