Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average,year,round
1,Simone Biles,USA,6.3,9.6,0.0,15.9,5.6,9.55,0.0,15.15,15.525,2015,final
2,Arianna Rocca,ITA,5.8,9.1,0.0,14.9,5.0,9.1,0.0,14.1,14.5,2015,final
3,Ellie Black,CAN,5.5,8.6,0.0,14.1,5.4,8.9,0.0,14.3,14.2,2015,final
4,Camille Bahl,FRA,5.8,8.85,-0.1,14.55,4.6,8.8,0.0,13.4,13.975,2015,final
5,Helody Cyrenne,FRA,5.0,8.85,0.0,13.85,4.6,8.7,0.0,13.3,13.575,2015,final
