Rank,Athlete,Nation,D,E,ND,Total,D2,E2,ND2,Total2,Average,round,year
1,Maria Paseka,RUS,6.3,9.1,0.0,15.4,5.6,8.8,-0.3,14.1,14.75,final,2015
2,Kelly Simm,GBR,5.6,8.933,0.0,14.533,5.0,8.933,0.0,13.933,14.233,final,2015
3,Daria Elizarova,RUS,5.0,9.1,0.0,14.1,5.0,8.9,0.0,13.9,14.0,final,2015
4,Tan Ing Yueh,MAS,4.8,8.775,0.0,13.575,5.2,8.6,-0.1,13.7,13.637,final,2015
5,Farah Ann Abdul Hadi,MAS,5.0,8.866,0.0,13.866,4.6,8.633,0.0,13.233,13.549,final,2015
6,Simone Penker,AUT,4.4,8.733,0.0,13.133,4.2,8.6,-0.1,12.7,12.916,final,2015
7,Dilnoza Abdusalimova,UZB,5.0,8.5,0.0,13.5,5.0,7.433,-0.3,12.133,12.816,final,2015
8,Mariana Vazquez,MEX,5.2,8.6,0.0,13.8,0.0,0.0,0.0,0.0,6.9,final,2015
