Rank,Athlete,Nation,D,E,ND,Total,round,year
1,MyKayla Skinner,USA,6.4,8.35,0.0,14.75,final,2014
2,Jessica Lopez,VEN,5.7,8.775,0.0,14.475,final,2014
3,Yesenia Ferrera,CUB,6.2,8.2,0.0,14.4,final,2014
4,Daniele Hypolito,BRA,5.3,8.7,0.0,14.0,final,2014
5,Isabelle Cruz,BRA,5.3,7.95,0.0,13.25,final,2014
6,Madison Desch,USA,5.6,7.3,0.0,12.9,final,2014
7,Amaranta Torres,MEX,5.0,6.55,0.0,11.55,final,2014
8,Merlina Galera,ARG,5.2,5.5,0.0,10.7,final,2014
