Rank,Athlete,D Score,E Score,Pen.,Total
1,Hitomi Hatakeda(JPN),5.3,7.7,,13.0
2,Lara Mori(ITA),5.6,7.25,,12.85
3,Uliana Perebinosova(RUS),4.8,8.0,,12.8
4,Aiko Sugihara(JPN),5.6,6.95,,12.55
5,Carlotta Ferlito(ITA),4.8,7.6,,12.4
6,Ng Yan Yin(HKG),5.0,7.1,,12.1
7,Jessica Dowling(CAN),4.9,7.15,,12.05
8,Barbora Mokosova(SVK),4.6,6.95,,11.55
