Position,Gymnast,D Score,E Score,Penalty,Total
1,Larisa Iordache,6.0,8.0,0.0,14.0
2,Silviana Sfiringu,6.0,7.8,0.0,13.8
3,Anastasiia Motak,5.8,7.4,0.1,13.1
4,Anastasiia Bachynska,5.7,7.4,0.0,13.1
5,Elina Vihrova,5.2,7.55,0.0,12.75
6,Bilge Tarhan,5.1,7.55,0.0,12.65
7,Christina Zwicker,4.7,7.4,0.0,12.1
8,Elisa Hämmerle,4.3,5.6,0.0,9.9
