Position,Gymnast,D Score,E Score,Pen.,Qual Rk,Total
1,Ksenia Afanasyeva(RUS),6.1,9.033,,-10,15.133
2,Sui Lu(CHN),6.1,8.966,,-2,15.066
3,Aly Raisman(USA),6.1,8.9,,-1,15
4,Yao Jinnan(CHN),6,8.866,,-4,14.866
5,Lauren Mitchell(AUS),6.3,8.433,,-9,14.733
6,Jordyn Wieber(USA),6,8.7,,-3,14.7
7,Elizabeth Tweddle(GBR),6.1,8.5,0.1,-7,14.5
8,Diana Chelaru(ROU),5.8,8.4,,-11,14.2
