Rank,Athlete,Nation,D,E,ND,Total
1,Nina Derwael,Belgium,5,8.5,,13.5
2,Pauline Schäfer,Germany,5.3,8.2,,13.5
3,Ilaria Käslin,Switzerland,5.4,8,,13.4
4,Sanne Wevers,Netherlands,5.5,7.866,,13.366
5,Marine Boyer,France,5.9,7.466,,13.366
6,Melanie De Jesus Dos Santos,France,5.4,7.9,,13.3
7,Lorette Charpy,France,5.5,7.666,,13.166
8,Maellyse Brassart,Belgium,5.2,7.866,,13.066
9,Vasiliki Millousi,Greece,5.4,7.666,,13.066
10,Kelly Simm,Great Britain,4.9,8.133,,13.033
11,Ana Perez,Spain,5.1,7.933,,13.033
12,Cintia Rodriguez,Spain,4.9,8.1,,13
13,Giada Grisetti,Italy,5.1,7.733,,12.833
14,Denisa Golgota,Romania,5.6,7.233,,12.833
15,Francesca Noemi Linari,Italy,4.8,8,,12.8
16,Angelina Melnikova,Russia,5,7.766,,12.766
17,Nora Feher,Hungary,5.2,7.566,,12.766
18,Diana Varinska,Ukraine,5.2,7.533,,12.733
19,Vera van Pol,Netherlands,4.7,7.966,,12.666
20,Alice Kinsella,Great Britain,5.2,7.433,,12.633
21,Teja Belak,Slovenia,4.7,7.9,,12.6
22,Helena Bonilla,Spain,4.9,7.633,,12.533
23,Celine van Gerner,Netherlands,5,7.5,,12.5
24,Valeriia Osipova,Ukraine,5.2,7.3,,12.5
25,Adela Sajn,Slovenia,5,7.433,,12.433
26,Marta Pihan-Kulesza,Poland,5.2,7.233,,12.433
27,Dorina Böczögö,Hungary,4.9,7.6,-0.1,12.4
28,Filipa Martins,Portugal,5.1,7.233,,12.333
29,Angelina Simakova,Russia,5.2,7.133,,12.333
29,Irina Alexeeva,Russia,5.2,7.133,,12.333
31,Axelle Klinckaert,Belgium,5.4,6.933,,12.333
32,Georgia-Mae Fenton,Great Britain,5,7.266,,12.266
33,Laura Iacob,Romania,4.8,7.433,,12.233
34,Noemi Makra,Hungary,5,7.2,,12.2
35,Leonie Meier,Switzerland,4.3,7.8,,12.1
36,Martina Basile,Italy,5.4,6.633,,12.033
37,Elisa Hämmerle,Austria,4.9,7.066,,11.966
38,Stefanie Siegenthaler,Switzerland,4.6,7.333,-0.1,11.833
39,Anastasija Dubova,Latvia,4.5,7.3,,11.8
40,Maija Leinonen,Finland,4.5,7.233,,11.733
41,Katarzyna Jurkowska-Kowalska,Poland,4.7,6.966,,11.666
42,Julie Søderstrøm,Norway,4.6,7.033,,11.633
43,Tutya Yilmaz,Turkey,5.6,6.033,,11.633
44,Anastasia Theocharous,Cyprus,3.9,7.633,,11.533
45,Jessica Castles,Sweden,4.9,6.6,,11.5
46,Carmen Ghiciuc,Romania,5.1,6.4,,11.5
47,Mariana Pitrez,Portugal,4.7,6.766,,11.466
48,Ioanna Xoulogi,Greece,5,6.466,,11.466
49,Angelina Radivilova,Ukraine,5.5,5.966,,11.466
50,Radoslava Kalamarova,Slovakia,4.7,6.7,,11.4
51,Kristyna Brabcova,Czech Republic,4.7,6.766,-0.1,11.366
52,Aneta Holasova,Czech Republic,4.9,6.466,,11.366
53,Pamela Georgieva,Bulgaria,4.6,6.733,,11.333
54,Yuliya Inshina,Azerbaijan,4.9,6.4,,11.3
55,Jasmin Mader,Austria,4.7,6.533,,11.233
56,Thelma Adalsteinsdottir,Iceland,5.2,6.1,-0.1,11.2
57,Enni Kettunen,Finland,4.3,6.833,,11.133
58,Dominika Ponizilova,Czech Republic,4.5,6.433,,10.933
59,Sara Davidsen,Norway,4.6,6.3,,10.9
60,Barbora Mokosova,Slovakia,4.2,6.533,,10.733
61,Aurelie Keller,Luxembourg,4.4,6.433,-0.1,10.733
62,Gabriela Janik,Poland,4.7,6.133,-0.1,10.733
63,Sofia Bjørnholdt,Denmark,4,6.766,-0.1,10.666
64,Evangelia Monokrousou,Greece,4.8,5.966,-0.1,10.666
65,Mariana Marianito,Portugal,4.8,5.766,,10.566
66,Siiri Saukkonen,Finland,4.3,6.1,,10.4
67,Christina Zwicker,Croatia,4.7,5.666,,10.366
68,Göksu Üctas Sanli,Turkey,4.6,5.7,,10.3
69,Bianca Frysak,Austria,4.9,5.4,,10.3
70,Anna Subbotina,Georgia,4.6,5.6,,10.2
71,Demet Mutlu,Turkey,4.6,5.566,,10.166
72,Meaghan Smith,Ireland,4.9,5.233,,10.133
73,Gloria Philassides,Cyprus,4.5,5.6,,10.1
74,Margret Kristinsdottir,Iceland,4.4,5.6,-0.1,9.9
75,Sigridur Bergthorsdottir,Iceland,4.5,5.4,,9.9
76,Karolina Takacova,Slovakia,4.6,5.066,,9.666
77,Leah Griesser,Germany,5,4.633,,9.633
78,Ofir Netzer,Israel,4.2,5.366,,9.566
79,Linnea Wang,Denmark,4,5.5,,9.5
80,Sarah Voss,Germany,4.4,5.033,,9.433
81,Marija Ribalcenko,Latvia,4.7,4.533,-0.1,9.133
82,Lucija Hribar,Slovenia,4.3,4.6,,8.9
83,Greta Banishka,Bulgaria,4.1,4.7,,8.8
84,Thea Nygaard,Norway,4.7,4.1,,8.8
85,Victoria Kajø,Denmark,4.3,4,,8.3
86,Linda Tugarinova,Latvia,3.7,4.533,,8.233
87,Marina Nekrasova,Azerbaijan,1.6,7.666,-6.5,2.766
