Rank,D Score,E Score,Pen.,Total,year,medal,Name,nation,round_final,round_qual
4.0,5.6,8.5,0.0,14.1,2014,-1,53,32,True,False
5.0,6.2,7.866,0.0,14.066,2014,-1,212,47,True,False
6.0,5.6,8.266,0.0,13.866,2014,-1,208,57,True,False
7.0,6.3,7.4,0.0,13.7,2014,-1,119,9,True,False
8.0,5.7,7.666,0.0,13.366,2014,-1,366,10,True,False
1.0,6.4,8.958,0.0,15.358,2015,1,329,57,True,False
2.0,5.7,8.633,0.0,14.333,2015,3,316,41,True,False
3.0,5.8,8.333,0.0,14.133,2015,-1,305,22,True,False
4.0,5.7,8.233,0.0,13.933,2015,-1,362,49,True,False
5.0,6.4,7.233,0.0,13.633,2015,-1,365,10,True,False
6.0,6.0,7.5,0.0,13.5,2015,-1,320,49,True,False
7.0,6.0,7.466,0.0,13.466,2015,-1,116,9,True,False
8.0,5.7,7.033,0.0,12.733,2015,-1,136,41,True,False
1.0,6.2,8.25,0.0,14.45,2014,-1,24,24,True,False
2.0,5.8,8.3,0.0,14.1,2014,-1,184,59,True,False
3.0,5.4,8.6,0.0,14.0,2014,-1,190,7,True,False
4.0,5.8,8.025,0.0,13.825,2014,-1,236,57,True,False
4.0,5.6,8.225,0.0,13.825,2014,-1,368,12,True,False
6.0,5.6,7.95,0.0,13.55,2014,-1,56,0,True,False
7.0,5.7,7.775,0.0,13.475,2014,-1,277,57,True,False
8.0,5.5,7.225,0.0,12.725,2014,-1,90,7,True,False
1.0,5.8,8.2,0.0,14.0,2015,-1,369,32,True,False
2.0,5.7,8.033,0.0,13.733,2015,-1,308,49,True,False
3.0,5.1,8.266,0.0,13.366,2015,-1,140,45,True,False
4.0,5.3,8.066,-0.1,13.266,2015,-1,98,58,True,False
5.0,5.9,6.933,-0.1,12.733,2015,-1,128,2,True,False
6.0,5.1,7.233,0.0,12.333,2015,-1,134,34,True,False
7.0,5.7,6.0,0.0,11.7,2015,-1,302,34,True,False
8.0,5.6,5.3,-0.1,10.8,2015,-1,283,32,True,False
1.0,6.1,8.15,0.0,14.25,2015,-1,283,32,False,True
2.0,6.2,7.9,-0.1,14.0,2015,-1,128,2,False,True
3.0,5.8,8.05,0.0,13.85,2015,-1,308,49,False,True
4.0,5.9,7.9,0.0,13.8,2015,-1,369,32,False,True
5.0,5.8,7.85,0.0,13.65,2015,-1,302,34,False,True
6.0,5.5,8.05,0.0,13.55,2015,-1,140,45,False,True
7.0,5.4,8.2,-0.1,13.5,2015,-1,98,58,False,True
8.0,5.1,8.1,0.0,13.2,2015,-1,134,34,False,True
9.0,5.3,7.6,0.0,12.9,2015,-1,160,34,False,True
10.0,4.8,8.0,0.0,12.8,2015,-1,337,38,False,True
11.0,5.6,7.15,0.0,12.75,2015,-1,197,20,False,True
12.0,5.2,7.45,0.0,12.65,2015,-1,106,49,False,True
13.0,5.1,7.5,0.0,12.6,2015,-1,85,48,False,True
14.0,5.7,6.9,0.0,12.6,2015,-1,53,32,False,True
15.0,5.0,7.5,0.0,12.5,2015,-1,137,38,False,True
16.0,5.8,6.45,0.0,12.25,2015,-1,315,32,False,True
17.0,4.8,7.35,0.0,12.15,2015,-1,330,3,False,True
18.0,4.9,7.25,0.0,12.15,2015,-1,301,34,False,True
19.0,4.2,7.9,0.0,12.1,2015,-1,72,50,False,True
20.0,5.4,6.7,0.0,12.1,2015,-1,348,38,False,True
21.0,5.9,6.25,-0.1,12.05,2015,-1,91,49,False,True
22.0,5.9,6.15,0.0,12.05,2015,-1,265,2,False,True
23.0,5.1,6.7,0.0,11.8,2015,-1,15,49,False,True
24.0,4.8,6.9,0.0,11.7,2015,-1,332,42,False,True
25.0,4.5,7.1,0.0,11.6,2015,-1,114,41,False,True
26.0,5.0,6.35,0.0,11.35,2015,-1,296,38,False,True
27.0,5.2,6.0,0.0,11.2,2015,-1,186,43,False,True
28.0,4.3,6.8,0.0,11.1,2015,-1,150,2,False,True
29.0,4.7,6.05,0.0,10.75,2015,-1,253,39,False,True
30.0,4.3,5.65,-0.1,9.85,2015,-1,344,42,False,True
1.0,6.1,8.266,0.0,14.366,2015,-1,36,47,True,False
2.0,6.0,8.3,0.0,14.3,2015,-1,60,20,True,False
3.0,5.8,8.4,0.0,14.2,2015,-1,83,19,True,False
4.0,5.6,8.3,0.0,13.9,2015,-1,86,20,True,False
5.0,5.9,7.366,0.0,13.266,2015,-1,358,23,True,False
6.0,5.6,7.6,0.0,13.2,2015,-1,248,49,True,False
7.0,5.7,7.4,0.0,13.1,2015,-1,305,22,True,False
8.0,5.3,6.7,-0.1,11.9,2015,3,316,41,True,False
1.0,6.4,8.633,0.0,15.033,2015,-1,248,49,False,True
2.0,6.1,8.266,0.0,14.366,2015,-1,60,20,False,True
3.0,5.8,8.533,0.0,14.333,2015,-1,305,22,False,True
4.0,6.3,7.933,0.0,14.233,2015,-1,36,47,False,True
5.0,5.7,8.625,-0.1,14.225,2015,3,316,41,False,True
6.0,5.8,8.366,0.0,14.166,2015,-1,83,19,False,True
6.0,5.8,8.366,0.0,14.166,2015,-1,86,20,False,True
8.0,6.1,8.166,-0.1,14.166,2015,-1,358,23,False,True
9.0,5.7,8.4,0.0,14.1,2015,-1,35,47,False,True
10.0,5.7,8.358,0.0,14.058,2015,-1,70,31,False,True
11.0,5.8,8.133,0.0,13.933,2015,-1,356,31,False,True
12.0,5.5,8.391,0.0,13.891,2015,-1,117,20,False,True
13.0,5.7,8.141,0.0,13.841,2015,-1,133,31,False,True
14.0,5.5,8.2,0.0,13.7,2015,-1,95,47,False,True
15.0,5.1,8.466,0.0,13.566,2015,-1,69,51,False,True
16.0,5.2,8.3,0.0,13.5,2015,-1,140,45,False,True
17.0,5.7,7.8,0.0,13.5,2015,-1,136,41,False,True
18.0,5.9,7.525,0.0,13.425,2015,-1,289,41,False,True
19.0,5.2,8.133,0.0,13.333,2015,-1,185,53,False,True
20.0,5.8,7.5,0.0,13.3,2015,-1,154,51,False,True
21.0,5.5,7.833,-0.1,13.233,2015,-1,181,51,False,True
22.0,5.5,7.7,0.0,13.2,2015,-1,92,49,False,True
23.0,5.2,7.933,0.0,13.133,2015,-1,23,17,False,True
24.0,5.1,8.0,0.0,13.1,2015,-1,6,17,False,True
25.0,5.9,7.166,0.0,13.066,2015,-1,200,22,False,True
26.0,5.1,7.933,0.0,13.033,2015,-1,290,26,False,True
27.0,5.9,7.2,-0.1,13.0,2015,-1,207,56,False,True
28.0,5.8,7.266,-0.1,12.966,2015,-1,103,41,False,True
29.0,5.3,7.633,0.0,12.933,2015,-1,263,31,False,True
30.0,5.6,7.333,0.0,12.933,2015,-1,260,44,False,True
31.0,5.4,7.433,0.0,12.833,2015,-1,19,20,False,True
32.0,4.7,8.041,0.0,12.741,2015,-1,355,35,False,True
33.0,5.0,7.633,0.0,12.633,2015,-1,230,19,False,True
34.0,4.4,8.2,0.0,12.6,2015,-1,306,22,False,True
35.0,5.3,7.266,0.0,12.566,2015,-1,195,44,False,True
36.0,4.5,8.033,0.0,12.533,2015,-1,130,26,False,True
37.0,5.1,7.366,0.0,12.466,2015,-1,40,56,False,True
38.0,5.4,7.166,-0.1,12.466,2015,-1,168,51,False,True
39.0,5.4,7.066,0.0,12.466,2015,-1,215,47,False,True
40.0,5.4,7.0,0.0,12.4,2015,-1,233,19,False,True
41.0,4.7,7.6,0.0,12.3,2015,-1,338,28,False,True
42.0,5.0,7.3,0.0,12.3,2015,-1,67,19,False,True
43.0,5.1,7.166,0.0,12.266,2015,-1,93,55,False,True
44.0,4.5,7.7,0.0,12.2,2015,-1,101,29,False,True
44.0,4.5,7.7,0.0,12.2,2015,-1,30,35,False,True
46.0,4.8,7.366,0.0,12.166,2015,-1,118,28,False,True
47.0,5.7,6.466,0.0,12.166,2015,-1,349,55,False,True
48.0,4.4,7.733,0.0,12.133,2015,-1,9,6,False,True
49.0,5.1,7.033,0.0,12.133,2015,-1,351,30,False,True
50.0,4.7,7.366,0.0,12.066,2015,-1,272,22,False,True
51.0,4.8,7.266,0.0,12.066,2015,-1,256,4,False,True
52.0,4.7,7.4,-0.1,12.0,2015,-1,203,26,False,True
53.0,4.6,7.4,0.0,12.0,2015,-1,360,14,False,True
53.0,4.6,7.4,0.0,12.0,2015,-1,99,42,False,True
55.0,4.5,7.466,0.0,11.966,2015,-1,164,1,False,True
56.0,4.7,7.366,-0.1,11.966,2015,-1,314,18,False,True
57.0,4.8,7.166,0.0,11.966,2015,-1,294,29,False,True
58.0,4.7,7.266,-0.1,11.866,2015,-1,58,52,False,True
59.0,4.6,7.266,0.0,11.866,2015,-1,264,42,False,True
60.0,5.1,6.766,0.0,11.866,2015,-1,250,23,False,True
61.0,4.5,7.166,0.0,11.666,2015,-1,254,4,False,True
62.0,5.0,6.633,0.0,11.633,2015,-1,313,8,False,True
63.0,4.6,6.966,0.0,11.566,2015,-1,275,18,False,True
64.0,4.9,6.6,0.0,11.5,2015,-1,374,45,False,True
65.0,4.5,6.966,-0.1,11.366,2015,-1,34,29,False,True
66.0,4.5,6.8,0.0,11.3,2015,-1,346,50,False,True
67.0,4.4,6.866,0.0,11.266,2015,-1,270,15,False,True
68.0,4.1,7.0,0.0,11.1,2015,-1,271,42,False,True
69.0,4.2,6.833,0.0,11.033,2015,-1,148,30,False,True
70.0,4.3,6.733,-0.1,10.933,2015,-1,107,55,False,True
71.0,4.0,6.866,0.0,10.866,2015,-1,33,6,False,True
72.0,4.1,6.7,0.0,10.8,2015,-1,64,26,False,True
73.0,5.3,5.5,0.0,10.8,2015,-1,293,17,False,True
74.0,4.1,6.633,0.0,10.733,2015,-1,342,29,False,True
75.0,4.6,5.9,0.0,10.5,2015,-1,353,36,False,True
76.0,4.5,5.966,0.0,10.466,2015,-1,335,40,False,True
77.0,5.1,5.233,0.0,10.333,2015,-1,49,14,False,True
78.0,5.0,5.2,0.0,10.2,2015,-1,303,17,False,True
79.0,4.3,5.766,0.0,10.066,2015,-1,7,8,False,True
80.0,3.5,6.533,0.0,10.033,2015,-1,202,40,False,True
81.0,4.8,5.166,0.0,9.966,2015,-1,332,42,False,True
82.0,3.5,6.4,0.0,9.9,2015,-1,96,35,False,True
83.0,3.3,6.433,-0.1,9.633,2015,-1,84,40,False,True
84.0,2.4,6.966,0.0,9.366,2015,-1,189,15,False,True
85.0,4.4,4.566,0.0,8.966,2015,-1,12,35,False,True
86.0,4.6,4.266,0.0,8.866,2015,-1,225,15,False,True
87.0,3.6,5.266,-0.1,8.766,2015,-1,282,21,False,True
88.0,2.5,5.5,0.0,8.0,2015,-1,146,36,False,True
89.0,0.7,8.433,-8.0,1.133,2015,-1,204,4,False,True
