Position,Gymnast,D Score,E Score,Penalty,Total
1,Pauline Schäfer,5.5,8.033,,13.533
2,Morgan Hurd,5.7,7.8,-0.1,13.4
3,Tabea Alt,5.7,7.6,,13.3
4,Mai Murakami,5.4,7.666,,13.066
5,Elena Eremina,5.4,7.566,,12.966
6,Asuka Teramoto,5.6,7.366,,12.966
7,Liu Tingting,5.5,7.366,-0.1,12.766
8,Ellie Black,5.7,6.7,,12.4
