Position,Gymnast,D Score1,E Score1,Pen.1,Score 1,D Score2,E Score2,Pen.2,score2,Total
1,Maria Paseka,6,8.7,,14.7,5.8,9.2,,15,14.85
2,Jade Carey,5.8,9,,14.8,5.6,9.133,,14.733,14.766
3,Giulia Steingruber,5.8,8.933,-0.1,14.633,5.4,8.9,,14.3,14.466
4,Ellie Black,5.4,9.166,,14.566,5.2,9.066,,14.266,14.416
5,Oksana Chusovitina,5.4,9.033,,14.433,5.2,9.1,,14.3,14.366
6,Wang Yan,5.6,8.9,,14.5,5.8,8.5,-0.1,14.2,14.35
7,Shallon Olsen,5.8,7.833,-0.1,13.533,6,8.933,,14.933,14.233
8,Sae Miyakawa,5.8,8.7,,14.5,5.4,7.7,,13.1,13.8
