ID,type,address,city,postcode,lat,lon,rentNet,rentGross,currency,livingSpace,arePetsAllowed,hasFlatSharingCommunity,isUnderRoof,CHF/m2,title,categories,numberOfRooms,floor,yearBuilt,isNewBuilding,yearLastRenovated,hasGarage,hasParking,hasRamp,isWheelchairAccessible,isOldBuilding,hasSwimmingPool,hasFireplace,isCornerHouse,isMiddleHouse,hasGardenShed,hasLiftingPlatform,hasBalcony,hasCableTv,isGroundFloorRaised,hasNiceView,hasConnectedBuildingLand,hasElevator,isChildFriendly,distanceHighSchool,distanceKindergarten,distancePrimarySchool,distanceMotorway,distancePublicTransport,balcony,builtInKitchen,garden,offerType,personId,region
4000988441,"['APARTMENT', 'FLAT']",Jakob-Strasse 38,Biel/Bienne,2504,47.151271781978,7.272482311608,1200,1380,CHF,59,True,,,23.389830508474578,"Appartement lumineux et calme / Helle, ruhige Wohnung","['APARTMENT', 'FLAT']",3,1,1960,,2004,True,,,,True,,,,,,,,True,,,,,True,,,,,,,,,RENT,679,schweiz
4001012076,"['APARTMENT', 'FLAT']",Bahnhofstr. 1,Pratteln,4133,47.522331781977,7.692072311601,1620,1910,CHF,104,True,,,18.365384615384617,Moderne Wohnung beim Bahnhof Pratteln,"['APARTMENT', 'FLAT']",4,4,1947,,2008,,,,,,,,,,,,True,True,,,,True,,400,400,300,,20,,,,RENT,679,schweiz
4000962404,"['APARTMENT', 'FLAT']",Mühlackerstr. 31,Frenkendorf,4402,47.500931781977,7.717722311603,1345,1670,CHF,83,True,,,20.120481927710845,Stadtnah und trotzdem naturnah wohnen!,"['APARTMENT', 'FLAT']",3.5,3,1985,,2020,True,True,True,,True,,,,,,,True,True,,,,True,True,300,350,1000,,800,,,,RENT,679,schweiz
4001010388,"['APARTMENT', 'FLAT']",Parkallee 12,Allschwil,4123,47.554271781974,7.553542311605,1515,1835,CHF,83,,,,22.10843373493976,"Tolle Wohnung, mit guter Verkehrsanbindung, an einer ruhigen Seitenstrasse","['APARTMENT', 'FLAT']",3.5,3,1985,,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,RENT,679,schweiz
4000960817,"['APARTMENT', 'FLAT']",Traugott Meyer-Strasse 3,Aesch BL,4147,47.474861781971,7.590712311603,1500,1700,CHF,78,True,,,21.794871794871796,Wohnung in ruhiger Lage mit toller Aussicht ins Grüne,"['APARTMENT', 'FLAT']",3.5,3,1982,,2011,True,,,,,,,,,,,True,True,,,,True,True,300,300,300,,500,,,,RENT,679,schweiz
4001010389,"['APARTMENT', 'FLAT']",Grosspeterstr. 11,Basel,4052,47.545351781979,7.600552311608,1312,1612,CHF,61,,,,26.42622950819672,Wunderschöne und zentrale Wohnung beim Bahnhof SBB,"['APARTMENT', 'FLAT']",3,2,1951,,2000,,,,,,,,,,,,,,,,,,,,750,350,,200,,,,RENT,679,schweiz
4001002917,"['APARTMENT', 'FLAT']",Carl-Spitteler-Str. 5,Romanshorn,8590,47.571521781974,9.367482311609,1742,2042,CHF,111,True,,,18.396396396396398,Wohnen in Romanshorn.,"['APARTMENT', 'FLAT']",5.5,0,1979,True,2016,True,,,,,,,,,,,True,True,,,,,True,800,800,800,,200,,,,RENT,679,schweiz
4001018118,"['APARTMENT', 'FLAT']",Narzissenweg 14,Biel/Bienne,2504,47.144641781974,7.275032311603,1480,1825,CHF,120,True,,,15.208333333333334,"Zentral, kinderfreundlich und naturnah!","['APARTMENT', 'FLAT']",4.5,2,1987,,,True,,,,,,,,,,,True,True,,,,True,True,250,250,250,,50,,,,RENT,679,schweiz
4000997187,"['APARTMENT', 'FLAT']",Rue Joseph Reichlen 5,Fribourg,1700,46.798371781973,7.152172311601,1165,1335,CHF,56,True,,,23.839285714285715,Appartement de 2 pièces idéalement situé,"['APARTMENT', 'FLAT']",2,4,1940,,2008,,True,,,True,,,,,,,True,True,,,,True,True,2000,2000,650,,50,,,,RENT,679,schweiz
4001015806,"['APARTMENT', 'FLAT']",Fröhlichstr. 48,Brugg AG,5200,47.478981781979,8.204432311606,1449,1879,CHF,97,True,,,19.371134020618555,Tolle Aussicht aus der 8. Etage - Nähe Bahnhof,"['APARTMENT', 'FLAT']",4.5,8,1975,,,True,True,,,,,,,,,,True,True,,,,True,,1000,60,600,,450,,,,RENT,679,schweiz
4001000790,"['APARTMENT', 'FLAT']",Goliathgasse 37,St. Gallen,9000,47.427931781971,9.377032311609,1481,1731,CHF,66,,,,26.227272727272727,Mitten in der Stadt St. Gallen,"['APARTMENT', 'FLAT']",3,3,1920,,2018,,,,,True,,,True,,,,,True,,True,,True,,500,450,450,,200,,,,RENT,679,schweiz
4000994544,"['APARTMENT', 'FLAT']",St. Jakobsstr. 96,Basel,4052,47.545991781972,7.601512311607,1600,1825,CHF,74,True,,,24.66216216216216,"Moderne, helle Wohnung im Herzen der Stadt!","['APARTMENT', 'FLAT']",2.5,3,1984,,2018,True,,,,,,,,,,,True,True,,,,True,True,600,1300,1200,,500,,,,RENT,679,schweiz
4000994547,"['APARTMENT', 'FLAT']",General Guisan-Str. 52,Aarau,5000,47.378021781971,8.057162311609,1340,1590,CHF,69,True,,,23.043478260869566,Schon gesehen?,"['APARTMENT', 'FLAT']",3,4,1968,,,True,True,,,,,,,,,,True,True,,,,True,,3200,500,500,,100,,,,RENT,679,schweiz
4000946241,"['APARTMENT', 'FLAT']",Brühlbleichestrasse 10,St. Gallen,9000,47.430461781975,9.383402311604,1110,1240,CHF,67,True,,,18.507462686567163,Wohnung nähe Olma,"['APARTMENT', 'FLAT']",2.5,2,1920,,2014,,,,,True,,,,,,,,True,,,,,,120,250,300,,250,,,,RENT,679,schweiz
4000946242,"['APARTMENT', 'FLAT']",Cité des Jardins 15,Fribourg,1700,46.809041781975,7.171782311603,560,650,CHF,20,True,,,32.5,Très beau studio rénové à louer,"['APARTMENT', 'FLAT']",1,0,1969,,2006,,True,,,,,,,,,,True,True,,,,True,True,3000,500,500,,100,,,,RENT,679,schweiz
4001002929,"['APARTMENT', 'FLAT']",Linsebühlstrasse 35,St. Gallen,9000,47.424641781971,9.381872311604,1128,1298,CHF,45,True,,,28.844444444444445,Charmante Singlewohnung sucht einen neuen Bewohner!,"['APARTMENT', 'FLAT']",3,2,1920,,2014,,,,,True,,,,,,,,True,,,,,,500,,,,300,,,,RENT,679,schweiz
4001018115,"['APARTMENT', 'FLAT']",Orpundstr. 9,Biel/Bienne,2504,47.144761781971,7.274452311601,1220,1505,CHF,107,True,,,14.065420560747663,Ihr neues Zuhause!,"['APARTMENT', 'FLAT']",3.5,1,1987,,,True,,,,,,,,,,,True,True,,,,True,True,250,250,250,,50,,,,RENT,679,schweiz
4000948196,"['APARTMENT', 'FLAT']",Flurweg 9B,Lyss,3250,47.068441781975,7.300932311602,1537,1727,CHF,76,,,,22.723684210526315,Attraktive Wohnung in kinderfreundlichen Quartier,"['APARTMENT', 'FLAT']",3.5,1,1986,,2019,True,,,,True,,,,,,,True,True,,,,,True,350,200,250,,100,,,,RENT,679,schweiz
4001015818,"['APARTMENT', 'FLAT']",Gustav Wenk-Str. 13,Basel,4056,47.569681781976,7.568402311607,1302,1552,CHF,71,True,,,21.859154929577464,Lust auf einen Tapetenwechsel?,"['APARTMENT', 'FLAT']",3,1,1957,,,True,,,,True,,,,,,,True,True,,,,True,True,500,150,500,,100,,,,RENT,679,schweiz
4000995821,"['APARTMENT', 'FLAT']",Reherstr. 24 A,St. Gallen,9016,47.437261781978,9.418742311605,1280,1520,CHF,77,True,,,19.74025974025974,Mieten ohne Kaution - in gepflegter Liegenschaft,"['APARTMENT', 'FLAT']",3.5,5,1979,,2005,True,True,,,True,,,,,,,True,True,,,,True,True,2000,1000,800,,150,,,,RENT,679,schweiz
4000994564,"['APARTMENT', 'FLAT']",Av. du Tourbillon 41,Sion,1950,46.230141781976,7.365052311602,1440,1700,CHF,92,True,,True,18.47826086956522,Bel appartement récent et garantie de loyer offerte,"['APARTMENT', 'FLAT']",3.5,2,2018,,,,,,,,,,,,,,,True,,,,,,2500,150,50,,30,,,,RENT,679,schweiz
4000951262,"['APARTMENT', 'FLAT']",Rue François-Guillimann 13,Fribourg,1700,46.798271781977,7.151042311604,1490,1740,CHF,61,True,,,28.524590163934427,Nouvelle rénovation - Appartement au rez lumineux,"['APARTMENT', 'FLAT']",3,0,1930,,2023,,True,,,True,,,,,,,True,True,,,,True,True,1000,1000,1000,,100,,,,RENT,679,schweiz
4000991010,"['APARTMENT', 'FLAT']",Via F. Borromini 20,Bellinzona,6500,46.188601781979,9.013362311602,1170,1640,CHF,83,True,,,19.759036144578314,Abitare vicino al centro di Bellinzona,"['APARTMENT', 'FLAT']",3.5,0,1982,,,True,True,,,True,,,,,,,,True,,,,True,,1300,1000,1000,,100,,,,RENT,679,schweiz
4001029807,"['APARTMENT', 'FLAT']",Wyhlenstrasse 22,Pratteln,4133,47.532161781979,7.709542311605,1150,1420,CHF,64,,,,22.1875,Unsere Wohnung - Ihre Zukunft!,"['APARTMENT', 'FLAT']",3.5,4,,,,,,,,,,,,,,,True,,,,,,,,,,,,,,,RENT,679,schweiz
4001028387,"['APARTMENT', 'FLAT']",Speicherstr. 29,St. Gallen,9000,47.424841781976,9.385232311603,1330,1530,CHF,83,,,,18.433734939759034,Charmante Wohnung an toller Lage,"['APARTMENT', 'FLAT']",3.5,1,1986,,,True,,,,,,,,,,,,True,,,,,True,650,90,850,,450,,,,RENT,679,schweiz
4001057624,"['APARTMENT', 'FLAT']",Waffengasse 4,Biel/Bienne,2502,47.135271781974,7.243742311607,1410,1630,CHF,80,True,,,20.375,Wohnen im Bielerhof,"['APARTMENT', 'FLAT']",3.5,3,1998,True,,True,,,,,,,,,,,True,True,,,,True,True,300,300,300,,15,,,,RENT,679,schweiz
4001057625,"['APARTMENT', 'FLAT']",Langackerstr. 4,Münchenstein,4142,47.522921781976,7.616522311607,1600,1830,CHF,83,,,,22.048192771084338,Wohnung im schönen Münchenstein,"['APARTMENT', 'FLAT']",4,2,,,,True,,,,,,,,,,,True,,,,,,True,,,,,,,,,RENT,679,schweiz
4001058535,"['APARTMENT', 'FLAT']",Hammerstrasse 100,Basel,4057,47.564971781977,7.595692311609,970,1150,CHF,37,True,,,31.08108108108108,"MIETEN OHNE KAUTION - Geräumige Wohnung, mitten in der Stadt!","['APARTMENT', 'FLAT']",1,5,1959,,1995,,,,,True,,,,,,,,True,,,,,,1300,750,600,,300,,,,RENT,679,schweiz
4001044958,"['APARTMENT', 'FLAT']",Lukasstrasse 2,St. Gallen,9008,47.439401781973,9.395132311603,1390,1590,CHF,65,,,,24.46153846153846,Renovierte Wohnung an zentraler Lage zu vermieten!,"['APARTMENT', 'FLAT']",3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RENT,679,schweiz
4001022250,"['APARTMENT', 'FLAT']",Farmanstr. 63,Glattpark (Opfikon),8152,47.422901781976,8.564562311607,2540,2790,CHF,100,,,,27.9,"Glattparkwohnug mit ""Seeblick""","['APARTMENT', 'FLAT']",3.5,3,2007,,,,,,,,,,,,,,True,,,,,True,,,,,,,,,,RENT,679,schweiz
4001029803,"['APARTMENT', 'FLAT']",Dufourstr. 3,St. Gallen,9008,47.434961781978,9.384412311603,1665,1890,CHF,110,True,,,17.181818181818183,Ihr Wohntraum in der Stadt - Langasse / Dufourstrasse,"['APARTMENT', 'FLAT']",4.5,2,1988,,,True,,True,,True,,,,,,,,True,,,,,,650,500,1000,,400,,,,RENT,679,schweiz
