ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
976,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Uneven Bars,
976,Jonna Eva-Maj Adlerteg,F,17.0,153.0,38.0,Sweden,SWE,2012 Summer,2012,Summer,London,Gymnastics,Balance Beam,
1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,All-Around,
1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Floor,
1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Vault,
1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Uneven Bars,
1003,Lena Annika Adomat,F,16.0,162.0,56.0,Sweden,SWE,1980 Summer,1980,Summer,Moskva,Gymnastics,Balance Beam,
1003,Lena Annika Adomat,F,20.0,162.0,56.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,All-Around,
1003,Lena Annika Adomat,F,20.0,162.0,56.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Floor,
1003,Lena Annika Adomat,F,20.0,162.0,56.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Vault,
1003,Lena Annika Adomat,F,20.0,162.0,56.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Uneven Bars,
1003,Lena Annika Adomat,F,20.0,162.0,56.0,Sweden,SWE,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Balance Beam,
1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,All-Around,
1071,Kseniya Dmitriyevna Afanasyeva,F,16.0,158.0,48.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Gymnastics,Team,
