ID,Age,Height,Weight,Year,Games_code,Team_code,City_code,Event_code
3142,18.0,162.0,45.0,1980,10,56,12,3
3142,18.0,162.0,45.0,1980,10,56,12,1
3142,18.0,162.0,45.0,1980,10,56,12,2
3142,18.0,162.0,45.0,1980,10,56,12,5
3142,18.0,162.0,45.0,1980,10,56,12,0
3267,19.0,155.0,59.0,2016,19,52,14,3
3267,19.0,155.0,59.0,2016,19,52,14,1
3267,19.0,155.0,59.0,2016,19,52,14,5
3267,19.0,155.0,59.0,2016,19,52,14,0
3281,16.0,158.0,44.0,1996,14,58,2,3
3281,16.0,158.0,44.0,1996,14,58,2,4
3281,16.0,158.0,44.0,1996,14,58,2,1
3281,16.0,158.0,44.0,1996,14,58,2,2
3281,16.0,158.0,44.0,1996,14,58,2,5
3281,16.0,158.0,44.0,1996,14,58,2,0
3281,20.0,158.0,44.0,2000,15,58,17,3
3281,20.0,158.0,44.0,2000,15,58,17,4
3281,20.0,158.0,44.0,2000,15,58,17,1
3281,20.0,158.0,44.0,2000,15,58,17,2
3281,20.0,158.0,44.0,2000,15,58,17,5
3281,20.0,158.0,44.0,2000,15,58,17,0
3362,14.0,0.0,0.0,1928,0,36,0,4
3423,18.0,155.0,47.0,1972,8,44,13,3
3423,18.0,155.0,47.0,1972,8,44,13,4
3423,18.0,155.0,47.0,1972,8,44,13,1
3423,18.0,155.0,47.0,1972,8,44,13,2
3423,18.0,155.0,47.0,1972,8,44,13,5
3423,18.0,155.0,47.0,1972,8,44,13,0
3501,20.0,0.0,0.0,1952,3,56,6,3
3501,20.0,0.0,0.0,1952,3,56,6,1
3501,20.0,0.0,0.0,1952,3,56,6,2
3501,20.0,0.0,0.0,1952,3,56,6,5
3501,20.0,0.0,0.0,1952,3,56,6,0
3594,17.0,0.0,0.0,1992,13,50,3,3
3594,17.0,0.0,0.0,1992,13,50,3,4
3594,17.0,0.0,0.0,1992,13,50,3,1
3594,17.0,0.0,0.0,1992,13,50,3,2
3594,17.0,0.0,0.0,1992,13,50,3,5
3594,17.0,0.0,0.0,1992,13,50,3,0
3928,24.0,0.0,0.0,1948,2,67,7,4
3957,23.0,0.0,0.0,1948,2,67,7,4
4048,17.0,151.0,46.0,2016,19,8,14,3
4048,17.0,151.0,46.0,2016,19,8,14,4
4048,17.0,151.0,46.0,2016,19,8,14,1
4048,17.0,151.0,46.0,2016,19,8,14,5
4048,17.0,151.0,46.0,2016,19,8,14,0
4131,16.0,158.0,54.0,1972,8,51,13,3
4131,16.0,158.0,54.0,1972,8,51,13,4
4131,16.0,158.0,54.0,1972,8,51,13,1
4131,16.0,158.0,54.0,1972,8,51,13,2
4131,16.0,158.0,54.0,1972,8,51,13,5
4131,16.0,158.0,54.0,1972,8,51,13,0
4309,24.0,0.0,0.0,1952,3,9,6,3
4309,24.0,0.0,0.0,1952,3,9,6,4
4309,24.0,0.0,0.0,1952,3,9,6,1
4309,24.0,0.0,0.0,1952,3,9,6,2
4309,24.0,0.0,0.0,1952,3,9,6,5
4309,24.0,0.0,0.0,1952,3,9,6,0
4706,15.0,150.0,39.0,2004,16,27,1,3
4706,15.0,150.0,39.0,2004,16,27,1,1
4706,15.0,150.0,39.0,2004,16,27,1,2
4706,15.0,150.0,39.0,2004,16,27,1,5
4706,15.0,150.0,39.0,2004,16,27,1,0
4712,20.0,159.0,56.0,1964,6,55,18,3
4712,20.0,159.0,56.0,1964,6,55,18,4
4712,20.0,159.0,56.0,1964,6,55,18,1
4712,20.0,159.0,56.0,1964,6,55,18,2
4712,20.0,159.0,56.0,1964,6,55,18,5
4712,20.0,159.0,56.0,1964,6,55,18,0
5332,17.0,162.0,49.0,1972,8,10,13,3
5332,17.0,162.0,49.0,1972,8,10,13,4
5332,17.0,162.0,49.0,1972,8,10,13,1
5332,17.0,162.0,49.0,1972,8,10,13,2
5332,17.0,162.0,49.0,1972,8,10,13,5
5332,17.0,162.0,49.0,1972,8,10,13,0
5332,21.0,162.0,49.0,1976,9,10,11,3
5332,21.0,162.0,49.0,1976,9,10,11,4
5332,21.0,162.0,49.0,1976,9,10,11,1
5332,21.0,162.0,49.0,1976,9,10,11,2
5332,21.0,162.0,49.0,1976,9,10,11,5
5332,21.0,162.0,49.0,1976,9,10,11,0
5350,21.0,0.0,0.0,1960,5,66,15,3
5350,21.0,0.0,0.0,1960,5,66,15,4
5350,21.0,0.0,0.0,1960,5,66,15,1
5350,21.0,0.0,0.0,1960,5,66,15,2
5350,21.0,0.0,0.0,1960,5,66,15,5
5350,21.0,0.0,0.0,1960,5,66,15,0
5351,18.0,0.0,0.0,1960,5,66,15,3
5351,18.0,0.0,0.0,1960,5,66,15,4
5351,18.0,0.0,0.0,1960,5,66,15,1
5351,18.0,0.0,0.0,1960,5,66,15,2
5351,18.0,0.0,0.0,1960,5,66,15,5
5351,18.0,0.0,0.0,1960,5,66,15,0
5381,16.0,160.0,32.0,1984,11,66,8,3
5381,16.0,160.0,32.0,1984,11,66,8,4
5381,16.0,160.0,32.0,1984,11,66,8,1
5381,16.0,160.0,32.0,1984,11,66,8,2
5381,16.0,160.0,32.0,1984,11,66,8,5
5381,16.0,160.0,32.0,1984,11,66,8,0
5700,20.0,166.0,56.0,1956,4,65,9,3
5700,20.0,166.0,56.0,1956,4,65,9,4
5700,20.0,166.0,56.0,1956,4,65,9,1
5700,20.0,166.0,56.0,1956,4,65,9,2
5700,20.0,166.0,56.0,1956,4,65,9,5
5700,20.0,166.0,56.0,1956,4,65,9,0
5700,23.0,166.0,56.0,1960,5,65,15,3
5700,23.0,166.0,56.0,1960,5,65,15,4
5700,23.0,166.0,56.0,1960,5,65,15,1
5700,23.0,166.0,56.0,1960,5,65,15,2
5700,23.0,166.0,56.0,1960,5,65,15,5
5700,23.0,166.0,56.0,1960,5,65,15,0
5700,27.0,166.0,56.0,1964,6,65,18,3
5700,27.0,166.0,56.0,1964,6,65,18,4
5700,27.0,166.0,56.0,1964,6,65,18,1
5700,27.0,166.0,56.0,1964,6,65,18,2
5700,27.0,166.0,56.0,1964,6,65,18,5
5700,27.0,166.0,56.0,1964,6,65,18,0
5767,24.0,166.0,62.0,1968,7,9,10,3
5767,24.0,166.0,62.0,1968,7,9,10,4
5767,24.0,166.0,62.0,1968,7,9,10,1
5767,24.0,166.0,62.0,1968,7,9,10,2
5767,24.0,166.0,62.0,1968,7,9,10,5
5767,24.0,166.0,62.0,1968,7,9,10,0
5912,17.0,154.0,49.0,1976,9,24,11,3
5912,17.0,154.0,49.0,1976,9,24,11,1
5912,17.0,154.0,49.0,1976,9,24,11,2
5912,17.0,154.0,49.0,1976,9,24,11,5
5912,17.0,154.0,49.0,1976,9,24,11,0
5913,14.0,160.0,50.0,1972,8,24,13,3
5913,14.0,160.0,50.0,1972,8,24,13,4
5913,14.0,160.0,50.0,1972,8,24,13,1
5913,14.0,160.0,50.0,1972,8,24,13,2
5913,14.0,160.0,50.0,1972,8,24,13,5
5913,14.0,160.0,50.0,1972,8,24,13,0
5913,18.0,160.0,50.0,1976,9,24,11,3
5913,18.0,160.0,50.0,1976,9,24,11,1
5913,18.0,160.0,50.0,1976,9,24,11,2
5913,18.0,160.0,50.0,1976,9,24,11,5
5913,18.0,160.0,50.0,1976,9,24,11,0
6042,19.0,164.0,51.0,1960,5,23,15,3
6042,19.0,164.0,51.0,1960,5,23,15,4
6042,19.0,164.0,51.0,1960,5,23,15,1
6042,19.0,164.0,51.0,1960,5,23,15,2
6042,19.0,164.0,51.0,1960,5,23,15,5
6042,19.0,164.0,51.0,1960,5,23,15,0
6064,18.0,0.0,0.0,1936,1,36,5,4
6065,21.0,0.0,0.0,1936,1,36,5,4
6322,16.0,162.0,0.0,2012,18,39,7,3
6322,16.0,162.0,0.0,2012,18,39,7,1
6322,16.0,162.0,0.0,2012,18,39,7,5
6322,16.0,162.0,0.0,2012,18,39,7,0
6711,15.0,155.0,43.0,1988,12,64,16,3
6711,15.0,155.0,43.0,1988,12,64,16,4
6711,15.0,155.0,43.0,1988,12,64,16,1
6711,15.0,155.0,43.0,1988,12,64,16,2
6711,15.0,155.0,43.0,1988,12,64,16,5
6711,15.0,155.0,43.0,1988,12,64,16,0
6741,26.0,162.0,56.0,1964,6,24,18,3
6741,26.0,162.0,56.0,1964,6,24,18,1
6741,26.0,162.0,56.0,1964,6,24,18,2
6741,26.0,162.0,56.0,1964,6,24,18,5
6741,26.0,162.0,56.0,1964,6,24,18,0
6862,24.0,0.0,0.0,1952,3,58,6,3
6862,24.0,0.0,0.0,1952,3,58,6,4
6862,24.0,0.0,0.0,1952,3,58,6,1
6862,24.0,0.0,0.0,1952,3,58,6,2
6862,24.0,0.0,0.0,1952,3,58,6,5
6862,24.0,0.0,0.0,1952,3,58,6,0
6955,16.0,152.0,39.0,1988,12,65,16,3
6955,16.0,152.0,39.0,1988,12,65,16,4
6955,16.0,152.0,39.0,1988,12,65,16,1
6955,16.0,152.0,39.0,1988,12,65,16,2
6955,16.0,152.0,39.0,1988,12,65,16,5
6955,16.0,152.0,39.0,1988,12,65,16,0
