Name,Sex,Age,Height,Weight,NOC,Year,Event,Medal
Evy Margareta Berggren (-Westerberg),F,18.0,,,SWE,1952,Vault,none
Evy Margareta Berggren (-Westerberg),F,22.0,,,SWE,1956,Vault,none
Mohini Bhardwaj (-Barry),F,25.0,147.0,43.0,USA,2004,Vault,none
Bi Wenjing,F,14.0,142.0,35.0,CHN,1996,Vault,none
Adriana Biagiotti,F,21.0,160.0,51.0,ITA,1968,Vault,none
Renata Bianchi,F,26.0,,,ITA,1952,Vault,none
Andrea Bieger,F,16.0,160.0,47.0,FRG,1976,Vault,none
"Pamela Jean ""Pam"" Bileck (-Flat)",F,15.0,153.0,43.0,USA,1984,Vault,none
Simone Arianne Biles,F,19.0,143.0,47.0,USA,2016,Vault,Gold
Mirjana Bili (-Vukas),F,24.0,157.0,52.0,YUG,1960,Vault,none
Helga Brsan,F,24.0,,,ROU,1952,Vault,none
Stefani Bisbikou,F,16.0,150.0,44.0,GRE,2004,Vault,none
"Elsabeth ""Ellie"" Black",F,16.0,155.0,56.0,CAN,2012,Vault,none
"Elsabeth ""Ellie"" Black",F,20.0,155.0,56.0,CAN,2016,Vault,none
Maya Blagoeva (-Mitova) ,F,16.0,151.0,42.0,BUL,1972,Vault,none
Suzette Blanco Saiz,F,20.0,153.0,50.0,CUB,1968,Vault,none
Vanja Hedvig Desideria Blomberg (-Webjrn),F,23.0,,,SWE,1952,Vault,none
Hana Bobkov (-Vlilov),F,23.0,,,TCH,1952,Vault,none
Loredana Boboc,F,16.0,139.0,32.0,ROU,2000,Vault,none
Nina Antonivna Bocharova,F,27.0,,,URS,1952,Vault,none
Dorina Bczg,F,16.0,160.0,48.0,HUN,2008,Vault,none
Dorina Bczg,F,20.0,160.0,48.0,HUN,2012,Vault,none
Andrea Bod-Molnr,F,17.0,,,HUN,1952,Vault,none
Andrea Bod-Molnr,F,22.0,,,HUN,1956,Vault,none
Svetlana Leonidovna Boginskaya,F,15.0,157.0,44.0,URS,1988,Vault,Gold
Svetlana Leonidovna Boginskaya,F,19.0,157.0,44.0,EUN,1992,Vault,none
Svetlana Leonidovna Boginskaya,F,23.0,157.0,44.0,BLR,1996,Vault,none
Erika Bogovic (-Streb),F,26.0,166.0,56.0,AUT,1960,Vault,none
Karin Boldemann,F,19.0,158.0,52.0,GER,1960,Vault,none
"Monica Johanna Petronella ""Monique"" Bolleboom",F,13.0,162.0,48.0,NED,1976,Vault,none
Cristina Bonta (-Ttaru),F,18.0,,,ROU,1992,Vault,none
Laura Bortolaso,F,23.0,154.0,46.0,ITA,1984,Vault,none
Eva Boskov-Vchtov (-Hlavkov),F,20.0,162.0,59.0,TCH,1952,Vault,none
Eva Boskov-Vchtov (-Hlavkov),F,24.0,162.0,59.0,TCH,1956,Vault,none
Eva Boskov-Vchtov (-Hlavkov),F,28.0,162.0,59.0,TCH,1960,Vault,none
Anita Botnen (-Fisher),F,19.0,165.0,53.0,CAN,1984,Vault,none
Karine Boucher,F,16.0,160.0,54.0,FRA,1988,Vault,none
Karine Boucher,F,19.0,160.0,54.0,FRA,1992,Vault,none
Nicole Bourdiau (-Desanti),F,20.0,160.0,49.0,FRA,1968,Vault,none
Maria Grazia Bozzo,F,16.0,,,ITA,1952,Vault,none
"Cornelia Margreta Maria ""Carla"" Braan (-Buijs)",F,14.0,162.0,50.0,NED,1976,Vault,none
Helga Andersen Braathen,F,15.0,161.0,53.0,NOR,1968,Vault,none
Soa Brzdov,F,19.0,161.0,50.0,TCH,1972,Vault,none
Miroslava Brdkov (-plchalov),F,29.0,,,TCH,1956,Vault,none
Kaye J. Breadsell (-Brajkovich),F,18.0,159.0,51.0,AUS,1960,Vault,none
Zulema Bregado Gutierrez,F,17.0,153.0,50.0,CUB,1968,Vault,none
Martina Bremini,F,17.0,161.0,45.0,ITA,2000,Vault,none
Rosario Briones,F,15.0,127.0,42.0,MEX,1968,Vault,none
Jacqueline Brisepierre (-Gaugey),F,18.0,170.0,61.0,FRA,1964,Vault,none
Jacqueline Brisepierre (-Gaugey),F,22.0,170.0,61.0,FRA,1968,Vault,none
Kelly Brown,F,18.0,152.0,45.0,CAN,1984,Vault,none
Wendy Suzanne Bruce (-Martin),F,19.0,155.0,45.0,USA,1992,Vault,none
Lisa Brggemann,F,19.0,157.0,48.0,GER,2004,Vault,none
Dana Brdlov,F,16.0,144.0,40.0,TCH,1980,Vault,none
Godelieve Brys,F,23.0,159.0,52.0,BEL,1960,Vault,none
Gerda Elbieta Bryka (-Krajciczek),F,23.0,160.0,55.0,POL,1964,Vault,none
Stefania Bucci,F,16.0,160.0,46.0,ITA,1976,Vault,none
Susan M. Buchanan (-Pierce),F,20.0,167.0,55.0,CAN,1972,Vault,none
"Valerie Ivy ""Val"" Buffham-Norris",F,21.0,152.0,48.0,AUS,1964,Vault,none
"Valerie Ivy ""Val"" Buffham-Norris",F,25.0,152.0,48.0,AUS,1968,Vault,none
Zdenka Bujnkov (-Jnoov),F,17.0,167.0,59.0,TCH,1972,Vault,none
Olga Bumbi,F,25.0,158.0,48.0,YUG,1972,Vault,none
Lyubov Viktorovna Burda (-Andrianova),F,15.0,162.0,48.0,URS,1968,Vault,none
