Model,Price,Year,Mileage,Fuel Type
Renault Mégane Mégane Grandtour 1.5 dCi Business EDC,"CHF 13,900",07.2020,"84,000 km",Diesel
Mercedes-Benz ML 320 ML 320 CDI 4Matic Edition7G-Tronic,"CHF 10,900",03.2008,"167,500 km",Diesel
Ford Fiesta Fiesta 1.0 SCTi Panther Edition,"CHF 11,900",08.2019,"97,200 km",Petrol
Seat Altea XL Altea XL Freetrack 2.0 TDI,"CHF 4,990",02.2008,"173,000 km",Diesel
BMW X4 X4 M40i Steptronic,"CHF 39,900",06.2019,"116,000 km",Petrol
Ford Puma Puma 1.0 MHEV ST-Line X Automat,"CHF 23,800",02.2022,"40,000 km",Petrol/Electric
Hyundai i20 i20 1.0 T-GDi Vertex DCT,"CHF 15,900",06.2019,"74,000 km",Petrol
Ford Focus Focus 1.5 TDCi Trend+ Automatic,"CHF 9,800",07.2019,"115,000 km",Diesel
Ford Fiesta Fiesta 1.0 SCTi MHEV ST Line X Automat,"CHF 19,700",09.2022,"22,500 km",Petrol/Electric
Mercedes-Benz GLC 250 GLC 250 d AMG Line 4Matic 9G-Tronic,"CHF 23,900",08.2017,"157,700 km",Diesel
BMW M340 M340i xDrive 48V Steptronic M Sport Pro,"CHF 64,800",09.2023,"3,000 km",Petrol/Electric
BMW M3 M3 Competition M xDrive,"CHF 84,800",04.2023,"23,000 km",Petrol
Ford Kuga Kuga 2.5 PHEV ST-Line X 2WD,"CHF 46,800",12.2023,"14,000 km",Petrol/Electric
Ds Automobiles DS3 DS 3 1.2 PureTech SO Chic,"CHF 6,899",03.2018,"113,998 km",Petrol
VW Golf Golf 1.5 eTSI  mHEV ACT Style DSG,"CHF 19,900",10.2020,"80,000 km",Petrol/Electric
BMW X5 X5 xDrive 48V 40d M Sport Steptronic,"CHF 73,900",03.2023,"25,000 km",Diesel/Electric
Mercedes-Benz V 300 V 300 d Swiss Edition kompakt 4Matic 9G-Tronic,"CHF 76,900",04.2023,"12,000 km",Diesel
BMW 520 520d xDrive Touring Luxury Line Steptronic,"CHF 29,900",01.2018,"40,984 km",Diesel
BMW 335 335i xDrive Touring Steptronic,"CHF 22,900",04.2015,"135,782 km",Petrol
VW T6 Multivan T6 Multivan 2.0 Bi-TDI Comfortline DSG,"CHF 39,800",10.2019,"90,400 km",Diesel
BMW X6 X6 xDrive 48V 30d M Sport Steptronic,"CHF 60,900",01.2021,"97,660 km",Diesel/Electric
BMW M550 M550d Touring xDrive Steptronic,"CHF 23,900",07.2016,"158,724 km",Diesel
Mercedes-Benz A 180 A 180 Night Star 7G-DCT,"CHF 24,800",08.2021,"95,000 km",Petrol
Fiat Panda Panda 0.9 Twinair Turbo Pop 4x4,"CHF 2,999",11.2013,"185,000 km",Benzin bleifrei
Audi Q5 Q5 45 TFSI sport quattro S-tronic,"CHF 29,990",07.2019,"105,000 km",Petrol
