0,1,2,3,4,5,6,7,8
Rank,Athlete,FX,PH,SR,VT,PB,HB,AA
1,Paul Ruggeri III Hilton HHonors,14.950,13.650,13.900,15.350,14.350,15.500,87.700
2,Steven Legendre Hilton HHonors,15.650,13.050,14.850,15.200,14.750,14.100,87.600
3,Donothan Bailey UC Berkeley,14.700,15.250,13.950,14.650,15.000,13.950,87.500
4,Donnell Whittenburg Hilton HHonors,15.000,13.700,14.700,14.700,14.850,14.250,87.200
5,Marvin Kimble Swiss Turners,13.350,15.200,15.200,14.600,14.750,13.200,86.300
6,Chris Brooks Hilton HHonors,13.950,13.500,13.550,14.100,14.550,16.200,85.850
7,Alec Yoder InterActive,13.500,14.950,14.450,14.600,13.850,14.350,85.700
8,Kevin Wolting UC Berkeley,14.950,14.900,13.000,14.750,14.400,13.550,85.550
9,Allan Bower Oklahoma,14.200,14.900,13.600,15.000,14.250,13.400,85.350
10,Hunter Justus Oklahoma,13.350,14.150,14.500,14.900,14.250,13.450,84.600
11,Akash Modi Stanford,15.100,11.550,13.950,14.900,14.300,14.450,84.250
12,C.J. Maestas Illinois,14.400,13.950,14.450,14.400,12.050,14.800,84.050
13,Danell Leyva Hilton HHonors,14.000,14.650,12.100,14.800,15.500,12.950,84.000
14,Robert Neff Stanford,14.400,13.600,13.100,14.450,13.600,14.600,83.750
15,Grant Breckenridge Buffalo Grove,13.850,13.500,13.600,14.650,13.700,14.450,83.750
16,Fabian DeLuna VSSG,13.750,13.150,15.050,14.950,13.450,13.150,83.500
17,Colin Van Wicklen Oklahoma,13.750,13.300,13.800,13.800,14.300,14.500,83.450
18,Bobby Baker Illinois,12.750,14.250,14.300,14.900,12.600,14.200,83.000
19,Kiwan Watts Above the Bar,14.300,13.950,12.750,14.200,13.900,13.650,82.750
20,Jonathan Horton Hilton HHonors,14.350,11.150,14.300,14.900,13.900,13.700,82.300
21,Yul Moldauer 5280 Gym,13.750,13.200,13.100,14.500,13.950,13.300,81.800
22,Dmitri Belanovski Michigan,14.250,13.300,13.300,14.400,12.900,13.450,81.600
23,Cameron Bock SCATS,13.800,14.250,13.200,14.550,13.150,12.600,81.550
24,Ryan Sheppard Stanford,13.200,13.000,13.300,14.250,13.850,13.400,81.000
25,Alex Diab Premier,14.050,11.950,13.950,14.350,12.300,14.100,80.700
26,Peter Daggett Daggett Gym,13.150,13.300,13.050,13.800,13.650,13.650,80.600
27,Ryan Wangler Classic Gym,12.650,13.250,12.850,14.050,13.850,13.500,80.150
28,Michael Burns Hocking Valley,12.600,13.850,12.350,14.100,13.750,13.450,80.100
29,Emyre Cole Go For It,13.950,13.450,12.700,15.000,12.500,12.450,80.050
30,Trevor Howard Penn State,13.000,11.550,13.800,14.900,12.900,13.650,79.800
31,Matthew Wenske Cypress Academy,14.450,11.350,13.150,14.450,12.900,13.200,79.500
32,Drew Moling Ohio State,13.250,13.600,14.250,13.500,12.050,12.800,79.450
33,Jack Boyle Iowa,12.650,12.450,13.200,13.900,13.550,13.500,79.250
34,Shane Wiskus MHG,12.200,13.400,13.150,14.600,12.200,13.550,79.100
35,Shaun Herzog Daggett Gym,12.300,12.100,13.600,13.150,13.250,13.950,78.350
,Jason Gaides UIC,12.100,13.500,13.150,13.850,12.900,12.850,78.350
37,Tristan Burke WOGA Frisco,13.300,13.150,12.700,14.950,13.200,10.900,78.200
38,Davis Grooms Champions Gym,12.600,13.350,13.300,13.950,11.950,12.800,77.950
39,Marcos Gatinho Universal,12.150,13.100,12.350,13.300,13.300,13.550,77.750
40,Josh Zeal Buffalo Grove,12.800,12.850,12.100,13.950,13.450,12.550,77.700
41,Jesse Glenn Army,13.700,12.650,12.050,13.150,11.600,14.100,77.250
42,Eric Klein Daggett Gym,13.200,11.850,12.000,14.550,13.500,11.900,77.000
43,Jordan King Cypress Academy,12.100,11.000,13.550,13.900,13.000,13.400,76.950
44,Maxim Andryushchenko Lake Shore,11.950,12.050,12.500,14.100,12.700,13.600,76.900
45,Addison Chung NESA,12.750,11.300,12.550,14.350,13.000,12.900,76.850
46,Anton Stephenson DeVeau’s,13.950,12.750,10.500,15.150,13.050,11.200,76.600
47,Levi Anderson Cypress Academy,12.600,11.250,12.200,14.150,12.750,13.600,76.550
48,Jonathan Zirna Springfield,12.500,14.000,10.100,14.400,13.550,11.500,76.050
49,Cole Casanova WOGA Frisco,12.300,12.450,12.850,13.700,12.450,12.050,75.800
