Position,Gymnast,D Score,E Score,Penalty,Total
1,Simone Biles(USA),6.4,8.933,,15.333
2,Larisa Iordache(ROU),6.3,8.5,,14.8
3,Aliya Mustafina(RUS),6.2,8.533,,14.733
4,Mykayla Skinner(USA),6.5,8.2,,14.7
5,Vanessa Ferrari(ITA),6.3,8.366,,14.666
6,Larrissa Miller(AUS),5.8,8.433,,14.233
7,Erika Fasana(ITA),5.7,8.2,,13.9
8,Claudia Fragapane(GBR),6,7.4,0.3,13.1
