Name,day2rank,day1rank
simone biles,1,1
shilese jones,2,2
leanne wong,3,4
skye blakely,4,3
jordan chiles,5,5
katelyn jong,6,9
Joscelyn Roberson,7,8
tiana sumanasekera,8,11
kayla dicello,9,-
Amelia disidore,10,7
kaliya lincoln,11,6
Madray Johnson,12,10
