Position,Gymnast,D Score,E Score,Penalty,Total
,Epke Zonderland (NED),7.7,8.525,,16.225
,Kōhei Uchimura (JPN),7.2,8.525,,15.725
,Marijo Možnik (CRO),6.7,8.3,,15.0
4.0,Nile Wilson (GBR),6.2,8.566,,14.766
5.0,David Belyavskiy (RUS),6.4,8.333,,14.733
6.0,Nikolai Kuksenkov (RUS),6.9,7.633,,14.533
7.0,Zhang Chenglong (CHN),7.4,6.966,,14.366
8.0,Jossimar Calvo (COL),6.7,6.6,,13.3
