Date,Competition,,VT,UB,BB,FX,AA
Aug 18-21,U.S. Championships,AA,14.3,13.5,13.55,13.65,55
Aug 18-21,U.S. Championships,QF,14.2,14.1,13.8,13.85,55.95
Jul 14-17,Pan American Championships,TF,0,13.967,12.3,13.5,0
Jul 14-17,Pan American Championships,AA,13.167,13.6,11.733,13.467,51.967
Jul 4-5,U.S. Pan Ams Trials,EF,0,13.766,13.333,0,0
Jul 4-5,U.S. Pan Ams Trials,AA,12.55,13.7,11.3,13.7,51.25
