Method,Athletes,Score
vns,"['lukas dauser', 'nils dunkel', 'pascal brendel', 'andreas toba']",248.194
hh,"['glenn trebing', 'dario sissakis', 'lukas dauser', 'pascal brendel']",244.027
ts,"['pascal brendel', 'lukas dauser', 'nils dunkel', 'andreas toba']",248.194
