Method,Athletes,Score
vns,"['james hall great', 'joshua nathan great', 'joe fraser great', 'jake jarman great']",256.993
hyper-heuristic,"['jake jarman great', 'joe fraser great', 'james hall great', 'max whitlock great']",254.459
tabu search,"['joshua nathan great', 'joe fraser great', 'james hall great', 'jake jarman great']",256.993
