,realSum,room_type,room_shared,room_private,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,attr_index_norm,rest_index,rest_index_norm,lng,lat
0,536.3966818902041,Entire home/apt,False,False,5.0,False,0,1,9.0,89.0,1,1.351201218155482,0.21234553960635238,390.7767745322715,19.00154903950734,1030.7385067289783,47.55037070172441,2.359,48.868
1,290.101593811166,Private room,False,True,2.0,True,0,0,10.0,97.0,1,0.6998212418102902,0.19371031171714118,518.4782703866687,25.211043549000973,1218.658866436425,56.219575071363835,2.35385,48.86282
2,445.7544971572374,Entire home/apt,False,False,4.0,False,0,1,10.0,100.0,1,0.968981736277134,0.2943429303001096,432.68994213209874,21.039579857747377,1069.8947930987356,49.356741493181026,2.36023,48.86375
3,211.3430888246808,Private room,False,True,2.0,False,0,0,10.0,94.0,1,3.3023186447838153,0.23473971251695236,444.55528405867483,21.616532970578138,902.8563701215022,41.65086955558847,2.31714,48.87475
4,266.334234318203,Entire home/apt,False,False,2.0,True,0,0,9.0,88.0,1,1.4024297801680259,0.05505193093692785,1013.4586887386628,49.27950233642195,1348.0635108977751,62.18931305485026,2.3340799999999997,48.853840000000005
5,345.0927393046882,Entire home/apt,False,False,2.0,False,0,1,9.0,91.0,1,0.5475705325797227,0.19600550679832335,542.1393544367174,26.361565479182314,1199.1796203921867,55.320952031333015,2.356,48.861000000000004
6,387.03513840991707,Entire home/apt,False,False,2.0,True,0,1,10.0,96.0,1,0.8824168969642899,0.15432821813346173,753.3632595046545,36.63234320201035,1422.2200729570295,65.6103281744592,2.342,48.853
7,247.9261813775748,Entire home/apt,False,False,4.0,False,0,0,7.0,82.0,1,1.1979198573657852,0.1036045915111318,406.9322274623907,19.787109111429583,1070.7695448139975,49.39709582947596,2.35915,48.866479999999996
8,527.0761487557088,Entire home/apt,False,False,4.0,True,0,0,10.0,93.0,1,1.5432028946771832,0.549118407065965,967.4872288028369,47.04413675863425,1095.870019906762,50.55503927260783,2.33201,48.858909999999995
9,193.6340758691397,Private room,False,True,2.0,False,0,0,10.0,90.0,1,3.998175150587037,0.41583745921211185,422.8955395427495,20.56332632057912,803.4337441981737,37.06427199672167,2.3067,48.875820000000004
