Rank,Gymnast,Nation,vt1_D Score,vt1_E Score,vt1_Pen.,vt1_Vault Score,vt2_D Score,vt2_E Score,vt2_Pen.,vt2_Vault Score,total
1,Ri Se-gwang,North Korea,6.4,9.216,,15.616,6.4,9.366,,15.766,15.691
2,Denis Ablyazin,Russia,6.4,9.2,,15.6,6.2,9.233,,15.433,15.516
3,Kenzō Shirai,Japan,6.4,9.433,,15.833,5.6,9.466,,15.066,15.449
4,Marian Drăgulescu,Romania,6,9.266,,15.266,6.2,9.433,,15.633,15.449
5,Nikita Nagornyy,Russia,6,9.233,,15.233,6,9.4,,15.4,15.316
6,Oleg Verniaiev,Ukraine,6,9.4,,15.4,6,9.233,,15.233,15.316
7,Tomás González,Chile,6,9.375,,15.375,5.6,9.3,,14.9,15.137
8,Ihor Radivilov,Ukraine,7,7.933,,14.933,6,9.133,,15.133,15.033
