Rank,Gymnast,Nation,D Score,E Score,Pen.,Total
1,Fabian Hambüchen,Germany,7.3,8.466,,15.766
2,Danell Leyva,United States,7.3,8.2,,15.5
3,Nile Wilson,Great Britain,6.8,8.666,,15.466
4,Sam Mikulak,United States,6.8,8.6,,15.4
5,Francisco Barreto Júnior,Brazil,6.9,8.308,,15.208
6,Manrique Larduet,Cuba,7,8.033,,15.033
7,Epke Zonderland,Netherlands,6.9,7.133,,14.033
8,Oleg Verniaiev,Ukraine,6.3,7.066,,13.366
