Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Year
Municipality,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2005
size classes,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2005
size classes,New buildings,Conversion,"Demolition, fire etc.",Pure increase,2005
"more than 100,000 inhabitants",1696,101,376,1421,2005
"10,001 - 100,000 inhabitants",10423,590,869,10144,2005
"5,001 - 10,000 inhabitants",7577,517,404,7690,2005
"2,001 - 5,000 inhabitants",10587,921,432,11076,2005
"2,000 inhabitants or fewer",7675,1294,237,8732,2005
Agglomerations of the five largest cities,12292,525,994,11823,2005
