Unnamed: 1,Unnamed: 3,Unnamed: 5,Unnamed: 7,Unnamed: 9,Year
Municipality,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2008
size classes,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2008
size classes,New buildings,Conversion,"Demolition, fire etc.",Pure increase,2008
"more than 100,000 inhabitants",2558,114,828,1844,2008
"10,001 - 100,000 inhabitants",12063,471,683,11851,2008
"5,001 - 10,000 inhabitants",8767,401,412,8756,2008
"2,001 - 5,000 inhabitants",11614,1040,410,12244,2008
"2,000 inhabitants or fewer",9189,1085,252,10022,2008
Agglomerations of the five largest cities,14003,348,1446,12905,2008
