Unnamed: 1,Unnamed: 3,Unnamed: 5,Unnamed: 7,Unnamed: 9,Year
Municipality,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2009
size classes,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2009
size classes,New buildings,Conversion,"Demolition, fire etc.",Pure increase,2009
"more than 100,000 inhabitants",2350,220,649,1921,2009
"10,001 - 100,000 inhabitants",11339,441,1287,10493,2009
"5,001 - 10,000 inhabitants",7068,373,625,6816,2009
"2,001 - 5,000 inhabitants",11005,669,578,11096,2009
"2,000 inhabitants or fewer",7971,1000,320,8651,2009
Agglomerations of the five largest cities,12189,579,1778,10990,2009
