Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Year
Municipality,Increase as a result of ...,,Decrease as a result of ...,Pure increase,1999
size classes,Increase as a result of ...,,Decrease as a result of ...,Pure increase,1999
size classes,New buildings,Conversion,"Demolition, fire etc.",Pure increase,1999
"more than 100,000 inhabitants",1416,102,341,1177,1999
"10,001 - 100,000 inhabitants",7639,229,367,7501,1999
"5,001 - 10,000 inhabitants",7009,269,148,7130,1999
"2,001 - 5,000 inhabitants",9027,735,243,9519,1999
"2,000 inhabitants or fewer",8017,1473,168,9322,1999
Agglomerations of the five largest cities,10055,324,532,9847,1999
