Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Year
Municipality,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2004
size classes,Increase as a result of ...,,Decrease as a result of ...,Pure increase,2004
size classes,New buildings,Conversion,"Demolition, fire etc.",Pure increase,2004
"more than 100,000 inhabitants",1600,131,597,1134,2004
"10,001 - 100,000 inhabitants",11041,554,545,11050,2004
"5,001 - 10,000 inhabitants",7806,423,398,7831,2004
"2,001 - 5,000 inhabitants",9268,898,545,9621,2004
"2,000 inhabitants or fewer",7220,1363,254,8329,2004
Agglomerations of the five largest cities,13019,482,1162,12339,2004
